date,phosphate
YYYY-MM-DD,uM
2018-03-07,0.0
2018-04-02,10.2197
2020-07-14,0.0
2020-07-21,5.3834
2020-07-29,0.0
2020-08-04,4.8627
2020-08-12,4.4626
2020-08-19,0.0
2020-08-24,0.0748
2020-09-02,5.18
2020-09-10,0.0
2020-09-14,0.0
2020-09-23,0.0
2020-09-29,0.0
2020-10-05,0.0
2020-10-13,4.3
2020-10-20,0.96
2020-10-28,8.49
2020-11-03,10.47
2020-11-10,4.91
2020-11-19,5.37
2020-12-03,7.25
2021-01-20,5.82
2021-02-19,5.9
2021-03-09,6.17
2021-04-06,6.93
2021-04-28,0.0
2021-05-04,0.38
2021-05-13,0.0
2021-05-18,39.84
2021-05-27,0.0
2021-06-02,0.05
2021-06-08,49.11
2021-06-15,0.1
2021-06-22,0.07
2021-07-01,0.1
2021-07-07,10.48
2021-07-16,0.46
2021-07-20,3.37
2021-07-27,0.99
2021-08-04,1.35
2021-08-10,0.0
2021-08-17,0.0
2021-08-24,0.0
2021-08-31,0.0
2021-09-08,0.0
2021-09-27,3.91
2021-10-15,0.0
2021-10-20,0.0
2021-10-28,0.56
2021-11-04,0.0
2021-11-08,1.79
2021-12-01,0.0
2022-01-07,5.22
2022-02-03,4.21
2022-03-03,4.41
