date,sulfate
YYYY-MM-DD,uM
2021-03-03,659.89
2021-03-19,659.21
2021-03-25,650.0
2021-04-07,695.34
2021-05-17,338.24
2021-05-28,318.75
2021-06-04,274.17
2021-06-11,328.45
2021-06-18,382.74
2021-06-24,413.66
2021-07-02,421.14
2021-07-09,441.28
2021-07-15,472.92
2021-07-23,458.63
2021-07-30,417.4
2021-07-31,376.7
2021-08-06,423.83
2021-08-13,425.3
2021-08-19,423.39
2021-08-27,449.68
2021-09-03,443.9665
2021-10-01,472.65
2021-10-07,486.89
2021-10-15,537.43
2021-10-22,519.47
2021-10-27,511.2
2021-11-03,522.14
2021-11-11,494.15
