Well,Date,water table depth,pH,Temp,Cond,ORP,DO,TC,NPOC,TIC,NH4,Cl,NO3,SO4,NO2,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,P,sd,As,sd
,,ft,,deg C,uS/cm,mV,ppm,mM,mM,mM,mM,mM,mM,mM,mM,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
