Location ID,Depth name,Well,Date,Time,pH,EC_uS/cm,DO_uM,ORP_mV,DOC_mM,DIC_mM,NH4_mM,Cl_mM,SO4_mM,NO3_mM,Mn_M,sd_M,Ca_M,sd_M,Fe_M,sd_M,Sr_M,sd_M,P_M,sd_M
ER-MZA1,Deep,MZT1-1-D,5/15/19,,,,,,0.131,2.852,0.0018,0.0278,0.539,0.0024,2.96E-06,4.82E-08,1.81E-03,1.28E-05,2.41E-06,3.58E-08,2.75E-06,1.58E-08,2.02E-05,3.19E-06
ER-MZA1,Deep,MZT1-1-D,6/4/19,10:40,8.14,479,5.3,,0.147,2.067,0.0008,0.0219,0.214,0.0008,9.71E-07,1.19E-08,1.13E-03,1.19E-05,1.19E-06,2.01E-08,1.99E-06,2.44E-08,8.49E-06,1.21E-06
ER-MZA1,Deep,MZT1-1-D,6/10/19,9:40,8,237,2.2,,0.158,2.087,0.0029,0.0152,0.161,0.0013,1.40E-06,1.65E-08,9.64E-04,8.00E-06,5.48E-07,1.34E-08,1.76E-06,1.65E-08,7.81E-06,6.82E-07
ER-MZA1,Deep,MZT1-1-D,6/19/19,11:00,7.67,211,4.7,,0.112,1.757,0.0013,0.0092,0.161,0,7.78E-07,1.47E-08,8.42E-04,5.75E-06,5.34E-07,3.40E-08,1.43E-06,1.49E-08,6.27E-06,7.26E-07
ER-MZA1,Deep,MZT1-1-D,6/24/19,9:25,7.86,218,3.8,,0.105,1.818,0.0011,0.0107,0.158,0,1.11E-06,2.56E-08,7.51E-04,5.71E-06,3.25E-07,2.38E-08,1.27E-06,1.38E-08,6.27E-06,8.08E-07
ER-MZA1,Deep,MZT1-1-D,7/2/19,9:40,7.91,174.7,5.3,,0.081,1.655,0.001,0.0077,0.154,0.0009,7.38E-07,1.83E-08,8.06E-04,1.26E-05,3.24E-07,2.18E-08,1.33E-06,1.75E-08,5.90E-06,8.55E-07
ER-MZA1,Deep,MZT1-1-D,7/9/19,9:10,7.93,206,5.4,,0.056,1.642,0.0011,0.0074,0.171,0.0007,9.96E-07,7.56E-07,7.10E-04,8.50E-06,2.59E-07,2.38E-08,1.18E-06,3.15E-08,7.14E-06,1.09E-06
ER-MZA1,Deep,MZT1-1-D,7/16/19,10:55,8.05,209,4.7,,0.069,1.653,0.0012,0.0056,0.188,0.0005,1.21E-06,2.27E-08,8.02E-04,9.10E-06,4.58E-07,2.38E-08,1.32E-06,2.65E-08,6.88E-06,1.04E-06
ER-MZA1,Deep,MZT1-1-D,7/25/19,9:30,7.74,222,3.9,,0.06,1.761,0.0018,0.0081,0.2136,0.0011,1.38E-06,2.54E-08,8.54E-04,5.35E-06,6.95E-07,1.43E-08,1.54E-06,2.75E-08,3.05E-06,1.30E-06
ER-MZA1,Deep,MZT1-1-D,8/5/19,9:35,7.77,239,2.5,,0.043,1.794,0.0021,0.0077,0.2406,0.0012,1.16E-06,1.33E-08,9.17E-04,4.12E-06,7.81E-07,1.19E-08,1.63E-06,8.54E-09,3.98E-06,1.48E-06
