Well,Date,Time,pH,Cond,ORP,Temp,DO,TC,NPOC,TIC,NH4,Cl,NO2,SO4,NO3,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,Si-1,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,SeO,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,As,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,PO,sd,AsO,sd
MC RW up,9/24/19,,,,,,,1.98,0.11,1.87,0.0015,0.0145,,0.4816,,,,,,,,5.24E-05,9.89E-07,2.62E-04,3.82E-06,,,7.28E-05,1.67E-06,5.99E-05,5.40E-07,1.39E-05,1.65E-07,,,,,1.40E-07,3.33E-09,1.12E-03,1.18E-05,3.34E-07,3.65E-09,,,,,,,1.77E-08,3.09E-09,,,,,1.15E-07,1.21E-08,,,,,9.00E-09,4.62E-10,2.28E-06,3.19E-08,,,1.29E-08,7.96E-10,,,,,,,,,,,3.80E-07,9.22E-09,,,,,,,2.92E-09,2.47E-10,1.34E-05,2.32E-06,,
MC RW up,10/23/19,,,,,,,2.06,0.38,1.68,0.0082,0.0221,,0.5324,0.0023,,,,,,,6.25E-05,2.31E-06,2.78E-04,4.65E-06,,,7.36E-05,1.74E-06,6.15E-05,3.82E-07,2.08E-05,3.23E-07,,,,,1.52E-07,3.74E-09,1.20E-03,9.33E-06,5.14E-07,1.01E-08,,,,,,,2.27E-08,2.39E-09,,,1.37E-08,7.53E-10,3.45E-07,1.39E-08,,,,,1.03E-08,3.35E-10,2.39E-06,2.08E-08,,,1.34E-08,7.73E-10,,,,,,,,,,,3.82E-07,3.98E-09,,,,,,,3.17E-09,1.95E-10,1.42E-05,2.35E-06,,
MCP1-1D,6/1/19,14:35,7.45,442,-93,12.8,,3.85,0.18,3.67,0.0012,0.2922,,0.2414,0.0005,4.63E-07,1.01E-07,,,,,1.45E-04,3.90E-06,4.59E-04,3.52E-06,,,1.68E-04,3.78E-06,1.46E-04,2.02E-06,1.31E-05,2.11E-07,,,1.09E-07,9.56E-10,2.38E-05,3.89E-07,1.85E-03,2.49E-05,6.91E-05,5.14E-07,,,,,,,5.84E-08,5.57E-09,,,2.39E-08,1.48E-09,4.13E-07,1.15E-08,,,2.76E-08,1.29E-09,2.21E-09,9.94E-11,2.44E-06,4.54E-08,,,1.35E-08,1.08E-09,,,,,,,,,,,1.52E-06,2.42E-08,,,,,,,,,1.33E-05,1.54E-06,,
MCP1-1D,6/24/19,15:23,7.42,364,-99,10,,3.68,0.32,3.36,0.0064,0.1837,,0.2063,,,,,,,,1.21E-04,2.05E-06,3.72E-04,6.30E-06,,,1.61E-04,4.14E-06,1.40E-04,1.47E-06,1.18E-05,1.46E-07,,,1.88E-08,8.61E-10,1.99E-05,5.22E-07,1.49E-03,1.64E-05,4.00E-05,4.07E-07,,,,,,,2.89E-08,2.13E-09,,,4.35E-09,9.62E-10,5.26E-07,1.21E-08,,,2.32E-08,1.02E-09,2.33E-09,1.14E-10,2.00E-06,2.54E-08,,,1.39E-08,6.17E-10,,,,,,,,,,,1.23E-06,7.33E-09,,,,,,,,,1.17E-05,1.21E-06,,
MCP1-1D,7/11/19,16:35,7.25,306,-112,9.2,,3.5,0.81,2.69,0.0159,0.1532,,0.2025,0.0005,,,,,,,1.18E-04,2.83E-06,3.54E-04,9.60E-06,,,1.57E-04,5.35E-06,1.34E-04,1.85E-06,1.29E-05,2.90E-07,,,1.20E-08,3.53E-10,1.96E-05,2.72E-07,1.42E-03,1.03E-05,3.35E-05,2.14E-07,,,,,6.56E-08,9.41E-08,3.35E-08,2.02E-09,,,7.43E-09,6.71E-10,9.57E-07,2.19E-08,,,2.37E-08,1.18E-09,2.37E-09,2.27E-10,1.88E-06,1.68E-08,,,1.47E-08,1.03E-09,,,,,,,,,,,1.16E-06,7.71E-09,,,,,,,,,1.14E-05,1.31E-06,,
MCP1-1D,7/17/19,16:00,7.5,340,-108,9.2,,3.79,0.26,3.54,0.0032,0.188,,0.2187,,4.35E-07,6.32E-08,,,,,1.32E-04,3.40E-06,3.83E-04,9.31E-06,,,1.67E-04,5.31E-06,1.46E-04,2.16E-06,1.59E-05,2.04E-07,,,1.72E-08,7.18E-10,2.10E-05,4.25E-07,1.55E-03,1.15E-05,3.62E-05,1.78E-07,,,,,,,3.48E-08,3.08E-09,,,2.12E-08,9.94E-10,8.99E-07,1.52E-08,-9.99E+02,,2.53E-08,1.36E-09,2.98E-09,1.51E-10,2.05E-06,1.84E-08,,,1.48E-08,6.08E-10,,,,,,,,,,,1.29E-06,1.73E-08,,,,,,,,,1.25E-05,1.37E-06,,
MCP1-1D,7/22/19,13:55,6.94,359,-67,10.8,,4.01,0.25,3.76,0.0023,0.2092,,0.225,0.0005,4.30E-07,3.72E-08,,,,,1.26E-04,4.12E-06,3.72E-04,6.29E-06,,,1.70E-04,4.70E-06,1.48E-04,1.19E-06,1.37E-05,1.51E-07,,,3.85E-08,4.08E-10,2.05E-05,1.89E-07,1.48E-03,1.43E-05,3.08E-05,1.49E-07,,,,,,,3.81E-08,4.05E-09,,,1.54E-08,2.12E-09,1.04E-06,9.27E-09,,,2.56E-08,1.26E-09,2.61E-09,2.41E-10,1.99E-06,2.04E-08,,,1.50E-08,1.44E-09,,,,,,,,,,,1.24E-06,1.03E-08,,,,,,,,,1.29E-05,1.54E-06,,
MCP1-1D,8/14/19,14.51,7.157,360,-93,10.8,,3.67,0.35,3.32,0.0056,0.2754,,0.2769,,4.57E-07,2.50E-08,,,,,1.33E-04,1.92E-06,4.09E-04,7.75E-06,,,1.70E-04,2.85E-06,1.53E-04,7.94E-07,1.42E-05,3.04E-07,,,,,2.34E-05,4.92E-07,1.67E-03,1.41E-05,8.16E-05,7.11E-07,,,,,,,2.65E-08,2.38E-09,,,,,1.04E-06,1.64E-08,,,3.62E-08,1.56E-09,2.88E-09,2.53E-10,2.61E-06,3.33E-08,,,1.51E-08,9.06E-10,,,,,,,,,,,1.62E-06,1.81E-08,,,,,,,,,1.28E-05,1.20E-06,3.52E-08,2.12E-09
MCP1-1D,8/28/19,,7.523,129.2,-83,,,3.61,0.36,3.25,0.0077,0.2959,,0.2977,,4.47E-07,7.55E-08,,,,,1.27E-04,2.48E-06,4.01E-04,5.03E-06,,,1.71E-04,2.64E-06,1.54E-04,6.49E-07,1.37E-05,2.22E-07,,,,,2.28E-05,4.24E-07,1.63E-03,9.08E-06,7.98E-05,1.10E-06,,,,,,,2.44E-08,1.93E-09,,,,,6.79E-07,1.36E-08,,,3.63E-08,1.02E-09,2.71E-09,1.18E-10,2.56E-06,4.58E-08,,,1.58E-08,2.00E-09,,,,,,,,,,,1.59E-06,1.64E-08,,,,,,,,,1.33E-05,1.67E-06,3.53E-08,2.60E-09
MCP1-1D,9/15/19,,7.39,390.1,-130,9.9,,3.71,0.3,3.41,0.0037,0.2659,,0.3009,,4.75E-07,5.25E-08,,,,,1.31E-04,3.03E-06,4.20E-04,9.41E-06,,,1.74E-04,4.44E-06,1.57E-04,1.10E-06,1.46E-05,4.10E-07,,,,,2.30E-05,4.24E-07,1.69E-03,1.25E-05,7.56E-05,7.68E-07,,,,,,,2.91E-08,3.80E-09,,,,,3.65E-07,1.15E-08,,,3.52E-08,1.01E-09,3.64E-09,4.07E-10,2.65E-06,2.15E-08,,,1.54E-08,8.64E-10,,,,,,,,,,,1.64E-06,1.50E-08,,,,,,,,,1.33E-05,1.23E-06,3.22E-08,2.65E-09
