Well,Date,Time,pH,Cond,ORP,Temp,DO,TC,NPOC,TIC,NH4,Cl,NO2,SO4,NO3,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,Si-1,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,SeO,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,As,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,PO,sd,AsO,sd
MCP1-2D,8/14/19,14:40,7.667,365,-76,10.4,,4.35,0.68,3.67,0.0171,0.1787,,0.033,0.00066,,,,,,,1.97E-04,3.95E-06,4.28E-04,9.76E-06,,,1.76E-04,3.76E-06,1.65E-04,1.21E-06,1.61E-05,3.41E-07,,,,,3.02E-05,4.98E-07,1.62E-03,2.61E-05,1.79E-04,2.61E-06,,,,,,,2.78E-08,3.07E-09,,,,,4.41E-06,5.89E-08,,,,,7.84E-09,5.93E-10,2.67E-06,3.39E-08,1.88E-09,6.27E-10,1.05E-08,6.73E-10,,,,,,,,,,,1.81E-06,2.03E-08,,,,,,,,,8.88E-06,4.13E-07,,
MCP1-2D,8/28/19,,,139.2,-78,,,4.48,0.54,3.94,0.0254,0.1909,,0.0516,0.0008,,,,,,,2.10E-04,6.14E-06,4.54E-04,1.34E-05,,,1.77E-04,4.62E-06,1.64E-04,1.59E-06,1.94E-05,3.58E-07,,,,,3.10E-05,4.18E-07,1.73E-03,1.85E-05,1.80E-04,1.75E-06,,,,,,,3.60E-08,2.65E-09,,,1.24E-08,1.07E-09,4.84E-06,5.26E-08,,,,,8.95E-09,4.47E-10,2.81E-06,2.83E-08,1.75E-09,2.86E-10,1.03E-08,6.66E-10,,,,,,,,,,,1.92E-06,1.70E-08,,,,,,,,,8.06E-06,3.60E-07,,
MCP1-2D,9/15/19,,7.34,416.5,-141,9.8,,4.13,0.51,3.62,0.018,0.2337,,0.2328,0.00071,,,,,,,2.12E-04,2.07E-06,4.52E-04,6.08E-06,,,1.78E-04,3.32E-06,1.63E-04,9.54E-07,1.63E-05,2.53E-07,,,,,3.01E-05,5.96E-07,1.73E-03,2.19E-05,1.97E-04,1.75E-06,,,,,,,2.96E-08,1.74E-09,,,,,3.76E-06,5.93E-08,,,5.75E-09,4.99E-10,8.00E-09,3.36E-10,2.84E-06,3.45E-08,1.56E-09,1.90E-10,9.16E-09,5.71E-10,,,,,,,,,,,1.86E-06,1.12E-08,,,,,,,,,1.22E-05,1.15E-06,,
MCP1-2D,9/24/19,,,,,,,3.37,0.38,2.99,0.0066,,,,,,,,,,,1.92E-04,2.94E-06,3.83E-04,1.08E-05,,,1.67E-04,3.21E-06,1.50E-04,7.60E-07,1.36E-05,2.80E-07,,,,,2.37E-05,3.85E-07,1.46E-03,6.94E-06,1.69E-04,1.76E-06,,,,,,,2.45E-08,2.62E-09,,,,,3.66E-06,1.97E-08,,,5.95E-09,5.99E-10,7.17E-09,2.77E-10,2.38E-06,3.29E-08,,,1.01E-08,5.08E-10,,,,,,,,,,,1.54E-06,1.32E-08,,,,,,,,,1.16E-05,1.51E-06,,
MCP1-2D,10/23/19,,7.6,285.6,-130,,,2.42,0.3,2.12,0.0104,0.2658,,0.1246,0.00069,,,,,,,1.64E-04,2.93E-06,2.70E-04,5.06E-06,,,1.31E-04,2.69E-06,1.16E-04,1.43E-06,1.06E-05,1.59E-07,,,,,1.60E-05,2.29E-07,1.02E-03,5.13E-06,1.22E-04,1.47E-06,,,,,,,1.70E-08,2.31E-09,,,,,1.93E-06,2.63E-08,,,,,5.03E-09,2.73E-10,1.63E-06,1.07E-08,,,9.63E-09,5.72E-10,,,,,,,,,,,1.00E-06,1.39E-08,,,,,,,,,7.32E-06,4.41E-07,,
MCP1-3D,6/1/19,14:00,7.33,451,-98,14.1,,3.67,0.34,3.33,0.0043,0.3421,,0.2001,,4.16E-07,1.02E-07,,,,,1.81E-04,5.27E-06,4.36E-04,1.08E-05,,,1.56E-04,3.65E-06,1.49E-04,1.62E-06,1.26E-05,1.75E-07,,,1.17E-08,7.13E-10,3.67E-05,3.82E-07,1.63E-03,2.11E-05,1.81E-04,7.06E-07,,,,,,,3.03E-08,2.98E-09,,,,,4.86E-07,9.14E-09,,,7.38E-09,4.30E-10,5.83E-09,1.79E-10,2.61E-06,5.74E-08,,,1.13E-08,7.60E-10,,,,,,,,,,,2.00E-06,1.30E-08,,,,,,,,,1.11E-05,1.28E-06,,
MCP1-3D,6/7/19,12:32,7.41,438,-89,10.8,,4.02,0.33,3.69,0.0042,0.3681,,0.2556,,,,,,,,1.59E-04,2.73E-06,3.65E-04,1.47E-06,,,1.49E-04,1.03E-06,1.42E-04,7.72E-07,1.11E-05,2.45E-07,,,2.03E-08,9.44E-10,3.15E-05,3.59E-07,1.40E-03,2.26E-05,6.57E-05,2.31E-07,,,,,,,2.96E-08,2.54E-09,,,4.42E-09,6.62E-10,3.68E-07,1.39E-08,,,,,5.18E-09,3.26E-10,2.14E-06,4.35E-08,,,1.08E-08,9.65E-10,,,,,,,,,,,1.53E-06,1.55E-08,,,,,,,,,1.20E-05,1.61E-06,,
MCP1-3D,6/14/19,15:50,7.26,450,-80,,,4.08,0.33,3.74,0.0039,0.3691,,0.2531,,,,,,,,1.76E-04,2.82E-06,4.12E-04,9.23E-06,,,1.55E-04,2.99E-06,1.46E-04,1.10E-06,1.27E-05,2.78E-07,,,1.19E-08,5.23E-10,3.56E-05,8.23E-07,1.61E-03,1.05E-05,1.57E-04,2.08E-06,,,,,,,3.06E-08,2.45E-09,,,4.97E-09,7.40E-10,5.55E-07,8.56E-09,,,8.14E-09,5.47E-10,6.06E-09,1.69E-10,2.48E-06,3.33E-08,,,1.14E-08,1.01E-09,,,,,,,,,,,1.89E-06,1.53E-08,,,,,,,,,1.12E-05,1.21E-06,,
MCP1-3D,6/24/19,15:04,7.25,435,-94,11,,4.14,0.35,3.78,0.0058,0.3674,,0.2632,,,,,,,,1.74E-04,2.66E-06,3.95E-04,5.61E-06,,,1.58E-04,3.04E-06,1.48E-04,1.37E-06,1.26E-05,1.95E-07,,,1.27E-08,4.45E-10,3.45E-05,6.71E-07,1.55E-03,1.97E-05,1.41E-04,1.22E-06,,,,,,,2.79E-08,3.35E-09,,,9.34E-09,1.41E-09,4.66E-07,9.65E-09,,,7.36E-09,9.40E-10,5.90E-09,2.55E-10,2.39E-06,1.86E-08,,,1.21E-08,5.55E-10,,,,,,,,,,,1.84E-06,1.47E-08,,,,,,,,,1.17E-05,1.37E-06,,
MCP1-3D,7/1/19,14:29,7.31,22,-107,15.3,,4.17,0.33,3.85,0.005,0.3637,,0.2645,,,,,,,,1.72E-04,3.00E-06,3.69E-04,7.59E-06,,,1.57E-04,4.67E-06,1.47E-04,1.69E-06,1.44E-05,7.62E-08,,,2.81E-08,7.15E-09,3.28E-05,5.80E-07,1.46E-03,1.45E-05,7.71E-05,9.88E-07,,,,,,,2.73E-08,2.83E-09,,,1.05E-08,1.85E-09,3.58E-07,1.40E-08,,,5.83E-09,8.08E-10,6.50E-09,2.85E-10,2.23E-06,2.73E-08,,,1.16E-08,7.62E-10,,,,,,,,,,,1.66E-06,1.62E-08,,,,,,,,,1.19E-05,1.60E-06,,
MCP1-3D,7/22/19,13:25,7.03,397,-69,10.3,,4.33,0.39,3.94,0.0083,0.3559,,0.2783,,4.49E-07,1.03E-07,,,,,1.93E-04,4.28E-06,4.21E-04,6.31E-06,,,1.69E-04,4.37E-06,1.59E-04,1.57E-06,1.43E-05,2.67E-07,,,1.81E-08,4.08E-10,3.75E-05,2.86E-07,1.67E-03,1.33E-05,1.97E-04,2.43E-06,,,,,,,3.39E-08,1.61E-09,,,5.70E-09,6.83E-10,5.41E-07,1.65E-08,,,1.10E-08,6.04E-10,7.44E-09,1.93E-10,2.57E-06,2.98E-08,,,1.42E-08,7.50E-10,,,,,,,,,,,2.08E-06,1.14E-08,,,,,,,,,1.24E-05,1.57E-06,,
MCP1-3D,8/28/19,,7.1,130.6,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP1-3D,9/15/19,,7.41,390.6,-143,11.1,,4.17,0.54,3.64,0.0081,0.1908,,0.09,,4.21E-07,8.11E-08,,,,,2.00E-04,3.57E-06,4.17E-04,7.74E-06,,,1.82E-04,4.19E-06,1.64E-04,1.58E-06,1.41E-05,2.68E-07,,,,,3.39E-05,5.60E-07,1.62E-03,1.31E-05,1.63E-04,2.26E-06,,,,,,,2.57E-08,3.50E-09,,,,,1.10E-06,1.57E-08,,,1.07E-08,6.19E-10,7.78E-09,1.65E-10,2.65E-06,3.94E-08,1.83E-09,3.83E-10,1.35E-08,4.20E-10,,,,,,,,,,,2.02E-06,2.71E-08,,,,,,,,,8.26E-06,3.88E-07,,
MCP1-3D,9/24/19,,,,,,,4.27,0.43,3.84,0.0021,0.2343,,0.0979,,4.56E-07,4.61E-08,,,,,1.99E-04,2.25E-06,4.33E-04,7.24E-06,,,1.83E-04,3.51E-06,1.64E-04,1.22E-06,1.37E-05,2.64E-07,,,,,3.60E-05,5.77E-07,1.68E-03,1.52E-05,1.90E-04,2.47E-06,,,,,,,2.79E-08,2.04E-09,1.85E-08,9.61E-10,1.19E-08,8.93E-10,1.07E-06,1.42E-08,,,1.18E-08,9.81E-10,7.62E-09,1.46E-10,2.76E-06,1.61E-08,,,1.39E-08,4.95E-10,,,,,,,,,,,2.06E-06,1.13E-08,,,,,,,,,8.39E-06,4.60E-07,,
MCP1-3D,10/23/19,,7.65,447.5,-148,,,3.96,0.44,3.52,0.0064,0.3334,,0.2245,,4.22E-07,3.91E-08,,,,,1.98E-04,1.21E-06,4.40E-04,8.30E-06,,,1.77E-04,2.64E-06,1.58E-04,1.18E-06,1.36E-05,2.75E-07,,,,,3.59E-05,5.81E-07,1.68E-03,8.90E-06,1.85E-04,1.94E-06,,,,,,,2.66E-08,2.76E-09,,,,,1.59E-06,1.36E-08,,,1.08E-08,1.06E-09,7.35E-09,3.14E-10,2.74E-06,2.68E-08,1.68E-09,5.57E-10,1.35E-08,8.52E-10,,,,,,,,,,,2.03E-06,1.67E-08,,,6.37E-09,3.86E-10,,,,,1.08E-05,9.08E-07,,
MCP1-4D,7/17/19,,,,,,,4.53,0.34,4.19,0.0041,0.1578,,0.0278,0.0005,4.52E-07,6.66E-08,,,,,1.87E-04,3.39E-06,4.09E-04,1.08E-05,,,1.65E-04,3.53E-06,1.54E-04,1.47E-06,1.37E-05,7.59E-08,,,1.81E-08,5.24E-10,3.63E-05,5.06E-07,1.62E-03,2.84E-05,1.68E-04,7.80E-07,,,,,,,3.14E-08,2.59E-09,,,,,4.17E-07,7.40E-09,,,8.89E-09,5.08E-10,6.95E-09,3.40E-10,2.50E-06,2.49E-08,,,1.27E-08,1.10E-09,,,,,,,,,,,1.99E-06,2.08E-08,,,,,,,,,1.19E-05,1.41E-06,,
MCP1-5D,6/1/19,13:45,7.45,505,-59,,,4.36,0.13,4.22,0.0031,0.3338,,0.2689,,2.61E-06,7.22E-08,,,,,6.80E-04,1.06E-05,4.87E-04,8.34E-06,,,1.58E-04,3.37E-06,1.48E-04,1.20E-06,2.20E-05,4.15E-07,,,6.95E-08,4.53E-09,3.22E-06,5.97E-08,1.74E-03,2.98E-05,2.52E-05,1.67E-07,,,,,,,3.61E-08,2.80E-09,,,8.50E-09,9.46E-10,9.33E-06,9.85E-08,,,,,4.82E-09,1.59E-10,4.60E-06,7.35E-08,,,,,,,,,,,,,,,5.66E-06,7.97E-08,1.37E-09,9.92E-11,,,,,,,4.73E-06,2.67E-07,,
MCP1-5D,6/7/19,12:20,7.44,479,-61,11.7,,5.23,0.14,5.09,0.0037,0.2631,,0.0078,0.0005,2.47E-06,1.23E-07,,,,,6.52E-04,1.21E-05,4.39E-04,6.04E-06,,,1.65E-04,3.71E-06,1.59E-04,1.31E-06,2.08E-05,2.29E-07,,,9.13E-08,8.42E-10,2.95E-06,7.40E-08,1.58E-03,1.15E-05,1.09E-05,1.24E-07,,,,,,,2.99E-08,2.70E-09,,,,,6.40E-06,7.75E-08,,,,,4.64E-09,1.48E-10,4.09E-06,5.98E-08,,,,,,,,,,,,,,,5.02E-06,6.05E-08,1.22E-09,8.74E-11,,,,,,,5.03E-06,4.37E-07,,
MCP1-5D,6/14/19,15:30,7.29,483,-75,7.4,,5.31,0.13,5.18,0.0036,0.2651,,0.0081,0.0005,2.60E-06,5.31E-08,,,,,6.85E-04,8.56E-06,4.66E-04,4.46E-06,,,1.67E-04,1.38E-06,1.64E-04,1.02E-06,2.19E-05,1.15E-06,,,1.55E-08,6.37E-10,3.13E-06,5.02E-08,1.69E-03,2.93E-05,1.76E-05,2.40E-07,,,,,,,3.33E-08,2.99E-09,,,5.77E-09,6.24E-10,5.28E-06,2.95E-08,,,,,4.76E-09,2.68E-10,4.27E-06,4.66E-08,,,,,,,,,,,,,,,5.40E-06,2.12E-08,1.29E-09,1.10E-10,,,,,,,5.27E-06,2.38E-07,,
MCP1-5D,6/24/19,14:49,7.33,466,-79,10.4,,5.34,0.16,5.17,0.0059,0.2626,,0.0086,0.0005,2.56E-06,8.09E-08,,,,,6.85E-04,1.37E-05,4.53E-04,8.71E-06,,,1.70E-04,3.96E-06,1.66E-04,1.22E-06,2.18E-05,3.97E-07,,,1.20E-07,4.15E-09,3.00E-06,7.97E-08,1.61E-03,2.13E-05,2.20E-05,1.20E-07,,,,,,,3.21E-08,3.42E-09,,,5.93E-09,9.78E-10,9.60E-06,1.34E-07,,,,,5.05E-09,3.15E-10,4.14E-06,8.06E-08,,,,,,,,,,,,,,,5.18E-06,3.71E-08,1.26E-09,1.43E-10,,,,,,,5.49E-06,2.70E-07,,
MCP1-5D,7/1/19,14:11,7.51,475,-103,11.3,,5.44,0.13,5.31,0.0051,0.2661,,0.0091,0.0005,2.67E-06,1.21E-07,,,,,7.60E-04,1.24E-05,4.73E-04,1.09E-05,,,1.72E-04,5.38E-06,1.68E-04,2.42E-06,2.26E-05,2.22E-07,,,1.65E-08,6.64E-10,3.18E-06,5.79E-08,1.70E-03,2.19E-05,2.00E-05,2.73E-07,,,,,,,3.43E-08,1.68E-09,,,7.61E-09,1.21E-09,4.37E-06,6.00E-08,,,,,5.22E-09,1.94E-10,4.40E-06,5.22E-08,,,,,,,,,,,,,,,5.54E-06,6.79E-08,1.39E-09,7.92E-11,,,,,,,5.42E-06,3.68E-07,,
MCP1-5D,7/11/19,16:10,7.33,418,-79,9.1,,5.41,0.15,5.26,0.0055,0.2693,,0.0109,0.0005,2.54E-06,7.99E-08,,,,,6.93E-04,1.24E-05,4.16E-04,8.13E-06,,,1.75E-04,3.78E-06,1.69E-04,1.42E-06,2.12E-05,2.80E-07,,,1.35E-08,3.79E-10,2.77E-06,5.10E-08,1.48E-03,1.31E-05,7.88E-06,9.02E-08,,,,,,,3.08E-08,2.66E-09,,,7.96E-09,8.65E-10,3.85E-06,1.48E-07,,,,,5.07E-09,2.46E-10,3.87E-06,4.02E-08,,,,,,,,,,,,,,,4.76E-06,2.72E-08,1.12E-09,6.88E-11,,,,,,,5.68E-06,2.63E-07,,
MCP1-5D,7/17/19,15:28,7.56,421,-91,11,,5.47,0.2,5.27,0.0112,0.2695,,0.0122,0.0005,2.77E-06,9.84E-08,,,,,7.18E-04,1.87E-05,4.84E-04,6.19E-06,,,1.76E-04,4.90E-06,1.76E-04,6.95E-07,2.43E-05,3.10E-07,,,2.58E-08,1.99E-09,3.24E-06,2.49E-08,1.75E-03,2.09E-05,2.14E-05,2.48E-07,,,,,,,3.63E-08,2.16E-09,,,9.95E-09,7.30E-10,9.57E-06,5.40E-08,,,,,5.91E-09,4.79E-10,4.51E-06,8.31E-08,,,,,,,,,,,,,,,5.64E-06,4.59E-08,1.38E-09,7.53E-11,,,,,,,5.88E-06,3.14E-07,,
MCP1-5D,7/22/19,13:15,7.3,429,-62,13.1,,5.42,0.13,5.29,0.0034,0.2692,,0.0119,0.0005,2.58E-06,4.72E-08,,,,,6.39E-04,2.00E-05,4.25E-04,8.79E-06,,,1.83E-04,3.67E-06,1.79E-04,1.80E-06,2.14E-05,3.88E-07,,,2.95E-08,7.58E-10,2.80E-06,4.38E-08,1.52E-03,1.90E-05,8.54E-06,8.85E-08,,,,,,,3.26E-08,3.45E-09,,,1.30E-08,8.75E-10,9.60E-06,1.53E-07,,,,,5.26E-09,1.75E-10,3.91E-06,6.95E-08,,,,,,,,,,,,,,,4.88E-06,3.27E-08,1.18E-09,8.56E-11,,,,,,,6.14E-06,2.06E-07,,
MCP1-5D,8/14/19,14:20,7.678,385,-94,12.3,,4.89,0.23,4.67,0.0071,0.2779,,0.0156,,2.95E-06,8.67E-08,,,,,6.82E-04,1.62E-05,4.75E-04,9.17E-06,,,1.88E-04,4.93E-06,1.71E-04,6.04E-07,2.38E-05,4.05E-07,,,,,3.30E-06,5.82E-08,1.78E-03,1.35E-05,2.55E-05,3.62E-07,,,,,,,2.37E-08,2.06E-09,,,,,7.43E-06,9.08E-08,,,,,5.91E-09,4.08E-10,4.80E-06,1.01E-08,,,,,,,,,,,,,,,5.78E-06,5.26E-08,1.32E-09,9.53E-11,,,,,,,7.00E-06,5.37E-07,,
MCP1-5D,8/28/19,,7.77,148.9,-122,,,4.75,0.19,4.56,0.0058,0.2499,,0.0174,,2.96E-06,8.45E-08,,,,,6.15E-04,1.66E-05,4.70E-04,7.43E-06,,,1.91E-04,3.09E-06,1.62E-04,6.63E-07,2.43E-05,3.86E-07,,,,,3.39E-06,6.75E-08,1.75E-03,2.82E-05,2.68E-05,2.75E-07,,,,,,,2.55E-08,3.31E-09,,,,,8.11E-06,7.83E-08,,,,,6.06E-09,1.43E-10,4.80E-06,4.04E-08,,,,,,,,,,,,,,,5.73E-06,3.01E-08,1.41E-09,7.17E-11,,,,,,,5.74E-06,3.82E-07,,
MCP1-5D,9/15/19,,7.6,420.7,-120,13.5,,4.69,0.41,4.28,0.0122,0.2424,,0.0265,,2.95E-06,8.60E-08,,,,,6.04E-04,6.73E-06,4.72E-04,1.41E-05,,,1.92E-04,5.56E-06,1.65E-04,4.30E-07,2.46E-05,5.29E-07,,,,,3.62E-06,6.00E-08,1.77E-03,2.42E-05,2.82E-05,1.22E-07,,,,,,,2.54E-08,2.25E-09,,,,,9.52E-06,8.37E-08,,,,,5.67E-09,3.67E-10,4.74E-06,3.85E-08,,,,,,,,,,,,,,,5.64E-06,3.59E-08,1.39E-09,1.82E-10,,,,,,,6.23E-06,2.81E-07,,
MCP1-5D,9/24/19,,,,,,,4.77,0.19,4.58,0.0015,,,,,2.92E-06,8.85E-08,,,,,5.90E-04,1.41E-05,4.90E-04,8.52E-06,,,1.94E-04,5.09E-06,1.70E-04,8.34E-07,2.32E-05,3.64E-07,,,,,3.37E-06,5.33E-08,1.79E-03,1.89E-05,2.50E-05,3.12E-07,,,,,,,2.79E-08,2.09E-09,,,,,2.01E-05,1.01E-07,,,,,5.66E-09,1.51E-10,4.85E-06,3.76E-08,,,,,,,,,,,,,,,5.70E-06,7.07E-08,1.31E-09,5.06E-11,,,,,,,6.13E-06,4.56E-07,,
MCP1-5D,10/23/19,,7.63,463.7,-99,,,4.73,0.59,4.14,0.0383,0.3275,,0.0143,,2.96E-06,6.41E-08,,,,,6.16E-04,1.02E-05,5.29E-04,1.01E-05,,,1.87E-04,4.63E-06,1.66E-04,1.55E-06,2.48E-05,3.25E-07,,,,,2.84E-06,5.04E-08,1.76E-03,2.35E-05,2.05E-05,2.43E-07,,,,,,,2.89E-08,3.73E-09,,,6.71E-09,1.03E-09,4.09E-05,5.33E-07,,,,,5.82E-09,3.10E-10,5.04E-06,1.33E-07,,,,,,,,,,,,,,,5.74E-06,5.16E-08,1.36E-09,9.65E-11,,,,,,,7.21E-06,4.73E-07,,
MCT2-1D,6/1/19,11:20,7.31,447,-35,13.1,,4.36,0.3,4.06,0.0015,0.1989,,0.0918,0.0005,,,,,,,2.33E-04,3.34E-06,3.19E-04,8.03E-06,,,1.42E-04,3.10E-06,1.35E-04,9.99E-07,1.42E-05,2.22E-07,,,,,3.10E-05,7.17E-07,1.85E-03,9.44E-06,7.67E-05,6.15E-07,,,,,,,5.43E-08,9.00E-09,1.31E-08,9.21E-10,1.21E-08,2.41E-09,9.00E-07,4.14E-08,,,1.58E-08,1.46E-09,1.99E-09,2.84E-10,3.10E-06,5.08E-08,,,1.84E-08,1.64E-09,,,,,,,,,,,1.59E-06,1.83E-08,,,,,,,1.16E-09,1.76E-10,7.91E-06,4.96E-07,,
MCT2-1D,6/7/19,13:00,4.46,409,-64,11,,4.43,0.28,4.16,0.0022,0.1699,,0.1323,0.0005,,,,,,,2.45E-04,4.79E-06,3.19E-04,7.51E-06,,,1.40E-04,4.43E-06,1.35E-04,1.38E-06,1.50E-05,1.77E-07,,,,,2.88E-05,6.13E-07,1.85E-03,1.79E-05,5.01E-05,4.11E-07,,,,,,,5.09E-08,6.45E-09,1.28E-08,1.12E-09,9.19E-09,2.26E-09,2.57E-07,2.07E-08,,,9.96E-09,1.85E-09,1.88E-09,4.07E-10,3.09E-06,6.63E-08,,,1.87E-08,2.86E-09,,,,,,,,,,,1.49E-06,1.51E-08,,,,,,,1.23E-09,1.34E-10,8.74E-06,4.12E-07,,
MCT2-1D,6/14/19,13:40,7.25,415,-63,8,,3.53,0.28,3.25,0.0025,0.0878,,0.1414,0.0005,,,,,,,1.94E-04,4.83E-06,2.65E-04,5.50E-06,,,1.27E-04,4.43E-06,1.19E-04,7.61E-07,1.29E-05,2.23E-07,,,,,2.52E-05,4.67E-07,1.52E-03,1.59E-05,4.59E-05,3.51E-07,,,,,,,3.77E-08,5.91E-09,8.93E-09,6.80E-10,,,2.55E-07,1.03E-08,,,1.24E-08,1.51E-09,1.38E-09,3.02E-10,2.50E-06,4.31E-08,,,2.34E-08,1.47E-09,,,,,,,,,,,1.24E-06,1.45E-08,,,,,,,1.03E-09,1.28E-10,7.76E-06,4.65E-07,,
MCT2-1D,6/24/19,11:48,7.74,316,-90,9.5,,3.19,0.26,2.93,0.0053,0.0288,,0.1374,0.0005,,,,,,,1.56E-04,3.04E-06,2.32E-04,5.40E-06,,,1.10E-04,2.24E-06,1.03E-04,1.10E-06,1.32E-05,3.47E-07,,,,,1.92E-05,4.27E-07,1.38E-03,9.30E-06,3.95E-05,4.25E-07,,,,,,,4.72E-08,3.75E-09,9.38E-09,9.06E-10,8.01E-09,2.56E-09,4.19E-07,1.83E-08,,,9.57E-09,1.53E-09,2.02E-09,3.41E-10,2.28E-06,2.37E-08,,,2.97E-08,1.36E-09,,,,,,,,,,,1.04E-06,1.06E-08,,,,,,,1.41E-09,8.36E-11,6.88E-06,4.83E-07,,
MCT2-1D,7/1/19,11:28,7.62,262,-157,9.7,,2.81,0.62,2.19,0.0237,0.0124,,0.1471,0.0005,,,,,,,1.02E-04,1.59E-06,2.00E-04,3.06E-06,,,1.03E-04,2.50E-06,9.61E-05,5.89E-07,9.32E-06,2.10E-07,,,,,1.50E-05,2.87E-07,1.22E-03,1.12E-05,2.84E-05,1.71E-07,,,,,,,3.13E-08,4.21E-09,8.36E-09,5.15E-10,,,2.44E-07,1.16E-08,,,8.09E-09,1.81E-09,,,2.00E-06,3.75E-08,,,3.00E-08,1.99E-09,,,,,,,,,,,9.11E-07,1.15E-08,,,,,,,1.17E-09,1.94E-10,6.23E-06,4.96E-07,,
MCT2-1D,7/11/19,12:08,7.87,269,-70,11.1,,3.14,1.24,1.9,0.0273,0.0123,,0.1362,,,,,,,,1.23E-04,2.22E-06,2.19E-04,3.88E-06,,,1.19E-04,2.03E-06,1.11E-04,1.64E-06,1.10E-05,2.25E-07,,,1.08E-07,2.76E-08,1.90E-05,3.22E-07,1.35E-03,1.39E-05,3.98E-05,2.97E-07,,,,,,,3.58E-08,4.95E-09,9.59E-09,6.66E-10,,,3.03E-07,1.24E-08,,,1.27E-08,1.09E-09,1.69E-09,2.50E-10,2.22E-06,2.63E-08,,,3.51E-08,1.88E-09,,,,,,,,,,,1.04E-06,6.92E-09,,,,,,,1.24E-09,1.21E-10,6.93E-06,5.60E-07,,
MCT2-1D,7/17/19,12:17,7.48,300,-80,12,,3.53,0.31,3.22,0.0063,0.018,,0.1119,0.0005,,,,,,,1.56E-04,3.26E-06,2.45E-04,3.79E-06,,,1.32E-04,1.57E-06,1.25E-04,9.03E-07,2.00E-05,3.15E-07,,,,,2.28E-05,3.53E-07,1.47E-03,2.36E-05,4.24E-05,6.88E-07,,,,,,,6.18E-08,8.46E-09,1.24E-08,1.58E-09,5.30E-08,3.77E-09,4.73E-07,2.35E-08,,,1.40E-08,1.77E-09,4.47E-09,8.65E-11,2.44E-06,4.46E-08,,,3.52E-08,1.64E-09,,,,,,,,,,,1.14E-06,1.25E-08,,,,,,,1.37E-09,1.10E-10,6.89E-06,3.65E-07,,
MCT2-1D,7/22/19,11:40,7.17,311,-82,15.3,,3.64,0.21,3.42,0.0025,0.0201,,0.11,0.0005,,,,,,,1.59E-04,3.71E-06,2.57E-04,4.99E-06,,,1.46E-04,4.30E-06,1.37E-04,5.08E-07,1.46E-05,2.76E-07,,,,,2.52E-05,4.54E-07,1.49E-03,1.63E-05,6.13E-05,3.65E-07,,,,,,,3.29E-08,7.19E-09,9.31E-09,5.48E-10,,,2.81E-07,1.54E-08,,,1.81E-08,2.75E-09,1.87E-09,3.12E-10,2.47E-06,2.57E-08,,,3.64E-08,2.68E-09,,,,,,,,,,,1.25E-06,3.96E-09,,,,,,,9.86E-10,1.85E-10,6.62E-06,3.82E-07,,
MCT2-1M,6/1/19,11:30,7.35,381,22,14,,5.01,0.35,4.66,0.0053,0.1374,,0.0779,0.0005,,,,,,,2.45E-04,6.83E-06,3.20E-04,9.60E-06,,,1.33E-04,2.88E-06,1.34E-04,1.46E-06,1.24E-05,1.50E-07,,,5.76E-09,4.69E-10,3.55E-06,6.53E-08,1.93E-03,2.94E-05,4.27E-06,4.17E-08,,,,,,,5.88E-08,4.16E-09,6.94E-09,5.71E-10,1.55E-08,1.51E-09,2.43E-07,8.58E-09,,,9.23E-09,9.31E-10,4.30E-09,1.93E-10,2.86E-06,2.86E-08,,,2.22E-08,3.51E-10,,,,,,,,,,,5.34E-07,3.32E-09,,,,,,,4.26E-09,1.45E-10,6.44E-06,3.98E-07,,
MCT2-1M,6/7/19,13:00,7.43,377,33,11.2,,4.3,0.43,3.87,0.0028,0.0556,,0.1485,0.0005,,,,,,,2.28E-04,3.00E-06,2.89E-04,7.58E-06,,,1.24E-04,1.97E-06,1.25E-04,1.24E-06,2.01E-05,2.89E-07,,,8.65E-09,6.41E-10,2.59E-06,4.38E-08,1.75E-03,1.77E-05,2.31E-06,5.07E-08,,,,,,,6.57E-08,2.02E-09,6.85E-09,6.18E-10,3.70E-08,8.77E-10,2.80E-07,7.56E-09,,,9.89E-09,4.92E-10,4.44E-09,2.91E-10,2.68E-06,6.93E-08,,,2.77E-08,4.45E-10,,,,,,,,,,,4.85E-07,1.47E-09,,,,,,,4.59E-09,1.32E-10,8.23E-06,9.57E-07,,
