date,barium
YYYY-MM-DD,ppb
2020-06-03,138.52323
2020-06-16,145.2096
2020-06-30,143.16741000000002
2020-07-14,154.96014
2020-07-21,111.43207000000001
2020-07-29,150.0542
2020-08-04,95.96601
2020-08-12,107.69559
2020-08-19,123.54990000000001
2020-08-24,108.36444
2020-09-01,103.6596
2020-09-10,106.36882
2020-09-14,127.71023
2020-09-23,133.32585999999998
2020-09-29,117.20067999999999
2020-10-05,130.22874
2020-10-13,100.45337
2020-10-20,94.77805000000001
2020-10-28,107.75404999999999
2020-11-03,123.69009
2020-11-19,117.69148
2020-12-03,153.00099
2021-01-20,155.6699
2021-02-19,173.3703
2021-03-09,172.57589
2021-04-28,169.38627
2021-05-04,170.26786
2021-05-13,160.31418
2021-05-18,152.03975
2021-06-02,152.77018
2021-06-08,124.6198
2021-06-15,153.02376
2021-06-22,135.73905
2021-07-01,159.94263999999998
2021-07-07,161.96157
2021-07-20,149.3196482
2021-07-27,143.82382189999998
2021-08-04,145.6108337
2021-08-10,145.0943515
2021-08-17,161.03583279999998
2021-08-24,154.7959493
2021-08-31,153.2172959
2021-09-08,158.90122359999998
2021-09-27,147.7866028
2021-10-04,170.1077802
2021-10-15,144.6834807
2021-10-20,164.6875091
2021-10-28,163.99337119999998
2021-11-04,157.6445888
2021-11-08,166.4590771
2021-12-01,163.9373492
