date,germanium
YYYY-MM-DD,ppb
2019-04-27,0.12584
2019-05-10,0.1305
2019-05-19,0.12572
2019-05-24,0.10338
2019-06-03,0.09625
2019-06-18,0.09502
2019-07-01,0.08986
2019-07-09,0.10314000000000001
2019-07-16,0.14715
2019-08-15,0.09006
2019-09-05,0.10522999999999999
2019-10-02,0.10611000000000001
2020-04-21,0.1476
2020-05-28,0.16670999999999997
2020-06-10,0.21777999999999997
2020-06-24,0.13873
2020-07-08,0.15555
2020-08-04,0.16085
2020-08-26,0.14589
2020-09-29,0.12691
2020-11-03,0.16813999999999998
2021-05-10,0.19243
2021-05-24,0.17087999999999998
2021-06-17,0.48760739999999997
2021-06-30,0.3856634
2021-07-22,0.41722990000000004
2021-08-20,0.4280139
2021-09-30,0.2576163
