date,tin
YYYY-MM-DD,ppb
2019-04-27,0.05429
2019-05-10,0.0
2019-05-19,0.02121
2019-05-24,0.16864
2019-06-03,0.06213
2019-06-18,0.0
2019-07-01,0.0
2019-07-09,0.0
2019-07-16,0.0
2019-08-15,0.09454000000000001
2019-09-05,0.0
2019-10-02,0.04912
2020-04-21,0.17072
2020-05-13,0.0
2020-05-28,0.0
2020-06-10,0.11556999999999999
2020-06-24,0.0
2020-07-08,0.04804
2020-08-03,0.0
2020-08-26,0.0
2020-09-29,0.0
2020-11-03,0.0
2021-05-10,4.411300000000001
2021-05-24,0.0
2021-06-17,0.020451499999999997
2021-06-30,0.0190478
2021-07-22,0.0649269
2021-08-20,0.16594520000000001
2021-09-30,0.08188849999999999
