date,manganese
YYYY-MM-DD,ppb
2019-04-27,386.53382
2019-05-11,333.33765999999997
2019-05-19,331.73069
2019-05-24,290.56856
2019-06-03,299.43752
2019-06-18,276.43168
2019-07-01,275.47614
2019-07-09,276.82538999999997
2019-07-16,268.89148
2019-08-13,290.95711
2019-09-05,300.45635999999996
2019-10-02,313.24257
2020-05-13,235.42175
2020-05-28,233.70926999999998
2020-06-10,220.09026
2020-06-24,221.06228000000002
2020-07-08,221.67179000000002
2020-08-03,198.39155000000002
2020-08-26,217.559
2020-09-29,216.61538000000002
2020-11-03,238.04228999999998
2021-05-10,179.07098000000002
2021-05-24,196.81844
2021-06-17,163.38810030000002
2021-06-30,161.2122141
2021-07-22,131.5906423
2021-08-20,121.3097142
2021-09-30,102.2944221
