date,magnesium
YYYY-MM-DD,ppb
2017-06-21,798.90556
2017-06-22,874.41844
2017-06-23,893.02385
2017-06-24,921.9999799999999
2017-06-25,950.0888
2017-06-26,965.74076
2017-06-27,1014.35289
2017-06-28,1057.87389
2017-06-29,1100.6263800000002
2017-06-30,1125.50108
2017-07-01,1146.41472
2017-07-02,1194.71544
2017-07-03,1177.88397
2017-07-04,1278.91012
2017-07-05,1288.4325999999999
2017-07-06,1303.80206
2017-07-07,1408.87194
2017-07-08,1382.9472
2017-07-09,1412.02096
2017-07-10,1476.54856
2017-07-11,1477.99137
2017-07-12,1489.0717100000002
2017-07-13,1485.1411200000002
2017-07-14,1532.97163
2017-07-15,1436.94041
2017-07-18,1515.2835300000002
2017-07-19,1547.63107
2017-07-20,1556.4101099999998
2017-07-21,1672.04127
2017-07-22,1599.44446
2017-07-23,1634.6737200000002
2017-07-24,1654.24703
2017-07-25,1671.66834
2017-07-26,1697.67153
2017-07-27,1682.07842
2017-07-28,1773.1023400000001
2017-07-29,1736.3455
2017-07-30,1662.19383
2017-07-31,1618.1329600000001
2017-08-01,1739.13914
2017-08-02,1738.34153
2017-08-03,1860.0286700000001
2017-08-04,1836.11845
2017-08-05,1854.29091
2017-08-06,1844.7827000000002
2017-08-07,1906.64498
2017-08-08,3713.1295099999998
2017-08-09,2338.43142
2017-08-10,1941.32683
2017-08-11,1964.7655399999999
2017-08-12,2010.53051
2017-08-13,1995.93786
2017-08-14,2069.6013199999998
2017-08-15,2037.11537
2017-08-16,2098.89838
2017-08-17,2083.22998
2017-08-18,2091.03326
2017-08-19,2109.07964
2017-08-20,2103.16748
2017-08-21,2157.13808
2017-08-22,2099.22916
2017-08-23,2072.7835999999998
2017-08-24,2164.30102
2017-08-25,2161.04644
2017-08-26,2011.8409700000002
2017-08-27,1939.98296
2017-08-28,1972.4407700000002
2017-08-29,1954.0407300000002
2017-08-30,1943.8454
2017-08-31,1930.06419
2017-09-01,1917.7490599999999
2017-09-02,1960.91913
2017-09-03,1941.07525
2017-09-04,1935.09505
2017-09-05,1922.29558
2017-09-17,2177.66853
2017-09-18,2355.15414
2017-09-19,2191.18134
2017-09-20,1953.1072100000001
2017-09-21,1874.2427799999998
2017-09-22,2225.26364
2017-09-23,2286.75567
2017-09-24,2480.08446
2017-09-25,2361.4604600000002
2017-09-26,2373.84201
2017-09-27,2354.4168099999997
2017-09-28,2951.7595899999997
2017-09-29,2601.41826
2017-09-30,3170.89954
2017-10-01,2941.21879
2017-10-02,3088.50936
2017-10-03,2863.71545
2017-10-04,2733.5472900000004
2017-10-05,2485.3706
2017-10-06,2343.27765
2017-10-07,2095.00245
2017-10-08,2019.5066499999998
2017-10-09,1957.00963
2017-10-10,2244.5534000000002
2017-10-20,1971.09101
2017-11-07,2003.6958200000001
2018-04-28,1499.70354
2018-04-29,1414.0038200000001
2018-04-30,1318.44675
2018-05-01,1285.39002
2018-05-02,1262.6603
2018-05-03,1438.5470699999998
2018-05-04,1417.16582
2018-05-05,1368.6362299999998
2018-05-06,1222.09942
2018-05-07,1153.62151
2018-05-08,1038.84782
2018-05-09,1006.87466
2018-05-10,1017.83968
2018-05-11,951.05631
2018-05-12,968.8696500000001
2018-05-13,937.2146499999999
2018-05-14,916.86779
2018-05-15,918.66644
2018-05-16,931.5658500000001
2018-05-17,901.44879
2018-05-18,915.1600500000001
2018-05-19,948.2695699999999
2018-05-20,947.3462999999999
2018-05-21,951.02757
2018-05-22,953.5749199999999
2018-05-23,1044.4529400000001
2018-05-24,1020.7731
2018-05-25,977.7435
