date,boron
YYYY-MM-DD,ppb
2017-03-17,3.2000699999999997
2017-03-23,1.67697
2017-05-03,0.0
2017-05-06,33.35513
2017-05-11,0.0
2017-05-15,31.69794
2017-06-22,30.129890000000003
2017-10-29,30.94588
2019-04-06,3.67921
2019-04-06,2.8374300000000003
2020-07-14,37.2367
2020-07-21,35.65374
2020-07-29,37.13064
2020-08-04,30.175179999999997
2020-08-12,32.43924
2020-08-19,45.17096000000001
2020-08-24,30.167700000000004
2020-09-01,26.49379
2020-09-14,29.70461
2020-09-23,27.03666
2020-09-29,27.494320000000002
2020-10-05,40.81093
2020-10-13,26.98008
2020-10-22,27.66862
2020-10-28,25.992980000000003
2020-11-03,27.70633
2020-11-19,27.39761
2021-04-28,29.07302
2021-05-04,27.67968
2021-05-13,29.83696
2021-05-18,28.083759999999998
2021-05-27,30.76259
2021-06-02,26.09852
2021-06-08,29.6389
2021-06-15,31.24819
2021-06-22,29.290349999999997
2021-07-01,29.05442
2021-07-07,27.24734
2021-07-16,26.5934471
2021-07-20,28.3991073
2021-07-27,30.1494906
2021-08-04,26.452481
2021-08-10,27.0090909
2021-08-17,27.180440400000002
2021-08-24,28.7757934
2021-08-31,28.134610100000003
2021-09-08,28.2241936
2021-09-27,31.1618554
2021-10-04,32.4619543
2021-10-15,26.342455299999997
