date,calcium
YYYY-MM-DD,ppb
2014-12-07,66493.76585
2015-01-24,64357.11657
2015-02-07,71635.89972
2015-03-16,59926.03001
2015-04-19,53102.04632
2015-05-11,44593.03377
2015-05-24,46142.34729
2015-06-02,44634.75207
2015-06-18,40725.205780000004
2015-07-02,41579.9326
2015-07-15,45406.88939
2015-08-02,53627.00158
2015-08-09,54832.50874999999
2015-10-04,53820.2056
2015-10-13,53434.499130000004
2015-10-26,53424.83345
2015-11-09,53753.4728
2015-11-23,55211.15175
2015-12-09,57974.52617
2015-12-30,55564.033659999994
2016-01-08,57132.23078
2016-01-18,57711.06966
2016-01-28,59651.49321
2016-02-12,48065.59093
2016-02-21,56458.4467
2016-03-09,55770.31828
2016-03-24,45384.187860000005
2016-03-31,53779.611430000004
2016-04-08,57354.647379999995
2016-04-21,52935.040250000005
2016-05-02,54780.36665420549
2016-05-12,57230.21440483381
2016-05-20,42231.63234453309
2016-05-27,47813.339658746394
2016-06-04,42807.63033584451
2016-06-11,39738.692916763306
2016-06-17,42540.1962
2016-06-27,44438.13091
2016-07-08,45992.34149
2016-07-15,47262.628059999995
2016-07-22,49123.764460000006
2016-07-29,53306.35585
2016-08-05,52829.24015
2016-08-12,51079.68548
2016-08-19,58813.3885
2016-08-26,61605.57457
2016-09-02,60760.02667
2016-09-09,56397.32312
2016-09-16,56668.73307
2016-09-23,45791.375029999996
2016-09-30,56513.07823
2016-10-12,56289.65468000001
2016-10-19,57918.149359999996
2016-10-27,55176.98846
2016-11-03,60171.10986
2016-11-12,56283.37355
2016-11-23,52201.28115
2016-12-04,60324.84816
2017-04-12,59320.395319999996
2017-04-30,56570.225060000004
2017-05-14,56371.750060000006
2017-05-30,46667.46444
2017-06-15,43300.62713
2017-06-30,43044.417270000005
2017-07-30,48246.00281
2017-08-25,56033.94837
2017-09-14,58117.69857
2017-09-27,57950.704020000005
2017-10-14,57955.20355
2017-10-23,57326.895189999996
2017-11-16,57586.28119
2018-03-03,51614.79391
2018-05-07,43763.63945
2018-05-25,46458.58672000001
2018-06-08,43393.262160000006
2018-06-15,46550.01955
2018-06-25,48264.114760000004
2018-07-09,51661.15874
2018-07-15,56269.078069999996
2018-08-10,59038.028459999994
2018-08-17,57326.95178
2018-08-24,59652.80102
2018-09-07,59262.059799999995
2018-09-14,56821.44502
2018-09-21,57118.98268
2018-09-28,58694.101989999996
