date,calcium
YYYY-MM-DD,ppb
2020-05-22,23024.70785
2020-05-29,53085.582389999996
2020-06-05,29054.861139999997
2020-06-12,21295.95702
2020-06-19,16507.99616
2020-06-26,17545.90297
2020-07-02,16995.62296
2020-07-10,20200.37626
2020-07-17,22993.15786
2020-07-23,18522.07529
2020-07-30,17027.50197
2020-08-07,14892.871809999999
2020-08-14,16542.918139999998
2020-08-20,14273.43745
2020-08-27,16637.86584
2020-09-03,19772.22843
2020-09-11,19682.70361
2020-09-18,17179.46287
2020-09-24,20383.11972
2020-10-01,19667.51828
2020-10-08,19315.59941
2020-10-16,23795.83477
2020-10-23,19124.99428
2020-10-27,22189.085679999997
2020-11-06,24102.944229999997
2020-11-20,21153.90242
2021-05-19,67547.74354
2021-05-28,16053.0615
2021-06-04,18039.23609
2021-06-11,66297.48983
2021-06-24,26223.68028
2021-07-09,29685.347660000003
2021-07-15,21709.69047
2021-07-23,22354.676789999998
2021-07-30,62164.98107
2021-08-06,25605.30444
2021-08-13,73363.7998086
2021-08-27,54866.049275
2021-09-03,35889.2976176
2021-10-01,43478.854341
2021-10-07,54210.5691672
2021-10-22,44168.581336300005
2021-11-03,48219.507080699994
2021-11-11,26140.845820399998
