date,chromium
YYYY-MM-DD,ppb
2016-10-15,0.47733
2016-10-19,0.6196200000000001
2016-10-27,0.65358
2016-11-03,0.83326
2016-11-12,0.83588
2016-11-23,0.50797
2016-12-19,0.6652199999999999
2017-03-19,3.40484
2017-04-11,0.74962
2017-04-12,1.44327
2017-05-14,1.13832
2017-05-30,1.33162
2017-06-01,1.3149
2017-06-15,0.41602
2017-06-30,0.8644499999999999
2017-07-13,0.30611
2017-07-30,0.5611900000000001
2017-08-25,1.1759300000000001
2017-09-13,0.38417
2017-09-27,0.46231
2017-10-14,0.54842
2017-10-23,0.5158200000000001
2017-10-29,1.10151
2017-11-03,0.36972
2017-11-16,0.64902
2017-12-19,0.41906
2018-01-05,0.53206
2018-01-25,0.59241
2018-03-03,0.8520800000000001
2018-03-17,0.8481099999999999
2018-05-07,1.08899
2018-05-25,0.94321
2018-06-03,1.55518
2018-06-15,0.8822099999999999
2018-06-25,0.08809
2018-07-11,0.06321
2018-07-15,0.04948
2018-08-10,0.14966000000000002
2018-08-17,0.12444999999999999
2018-08-24,0.7377400000000001
