date,zinc
YYYY-MM-DD,ppb
2020-06-03,3798.4168899999995
2020-06-16,2626.11022
2020-06-30,3115.51444
2020-07-14,2524.66365
2020-07-29,1444.8718800000001
2020-08-04,813.86888
2021-04-28,165.55975
2021-05-04,505.76703000000003
2021-05-13,213.08982
2021-05-18,568.03544
2021-06-02,317.43961
2021-06-08,241.50126
2021-06-22,173.80984999999998
2021-07-07,245.108
2021-07-16,231.0428058
2021-07-20,198.3304174
2021-07-27,182.49856730000002
2021-08-04,292.82293070000003
2021-08-10,170.97011429999998
2021-08-17,736.080991
