date,potassium
YYYY-MM-DD,ppb
2014-12-07,716.42038
2015-02-07,806.66371
2015-02-19,965.4114400000001
2015-03-16,688.13681
2015-04-19,613.25775
2015-05-02,562.35852
2015-05-11,607.37543
2015-05-24,571.42863
2015-06-02,475.42050000000006
2015-06-18,478.10992
2015-07-02,440.0702
2015-07-15,487.98350999999997
2015-08-02,524.54961
2015-08-09,552.38179
2015-10-04,673.91531
2015-10-13,690.9683
2015-10-26,695.95317
2015-11-09,665.34723
2015-11-23,677.9258500000001
2015-12-09,721.30579
2015-12-30,679.2262599999999
2016-01-08,687.63368
2016-01-18,695.5296900000001
2016-01-28,707.8529100000001
2016-02-12,753.3496700000001
2016-02-21,721.9014500000001
2016-03-09,711.64602
2016-03-24,705.18058
2016-03-31,686.2170500000001
2016-04-08,918.89425
2016-04-21,647.75808
2016-05-02,650.4999823300001
2016-05-12,602.5620444583001
2016-05-20,534.2437573806001
2016-05-27,537.7243324896
2016-06-04,456.5752443168
2016-06-11,501.3680318875
2016-06-17,495.01207
2016-06-27,508.3075
2016-07-08,543.804
2016-07-15,529.23384
2016-07-22,547.66138
2016-07-29,610.34812
2016-08-05,530.38
2016-08-12,676.7798
2016-08-19,742.0665300000001
2016-08-26,673.54753
2016-08-27,622.67887
2016-09-02,665.86664
2016-09-09,621.51175
2016-09-16,706.33259
2016-09-23,734.86102
2016-09-30,704.75693
2016-10-12,684.75704
2016-10-19,664.7862700000001
2016-10-27,630.15631
2016-11-03,682.9303400000001
2016-11-12,663.3492200000001
2016-11-23,725.1884
2016-12-04,751.07558
2016-12-19,775.88059
2017-02-01,937.8783799999999
2017-03-19,667.84044
2017-04-12,670.23396
2017-04-30,683.87117
2017-05-11,610.88968
2017-05-30,527.33929
2017-06-15,547.15179
2017-06-24,577.58822
2017-06-30,490.21720000000005
2017-07-13,433.55831
2017-07-30,439.46626000000003
2017-08-25,616.21125
2017-09-14,681.75838
2017-09-27,759.7884
2017-10-14,698.5375899999999
2017-10-23,687.49811
2017-11-03,695.39627
2017-11-16,1205.53619
2017-12-19,825.2384000000001
2018-01-06,825.15759
2018-01-26,827.9434100000001
2018-03-03,797.0890099999999
2018-03-04,670.70767
2018-03-17,770.43068
2018-05-07,711.93257
2018-05-25,614.12535
2018-06-08,577.42689
2018-06-15,532.95698
2018-06-25,604.94434
2018-07-11,587.72195
2018-07-15,668.71537
2018-08-10,824.53098
2018-08-17,786.67813
2018-08-24,832.49862
2018-09-07,738.9855699999999
2018-09-14,738.2281899999999
2018-09-21,764.68553
2018-10-05,723.54376
2018-10-12,718.1340299999999
2018-10-18,739.16832
2018-10-25,749.9814000000001
2018-11-02,728.1613199999999
2018-11-10,742.8831700000001
2018-11-17,692.3818
2019-03-18,768.18921
2019-03-30,164.98909
2019-04-18,736.68643
2019-05-02,659.1761700000001
2019-05-08,644.80276
2019-05-31,714.82062
2019-06-05,553.15482
2019-06-11,554.23037
2019-06-21,536.25814
2019-06-27,502.40288
2019-07-05,482.64283
2019-07-14,465.71250999999995
2019-07-19,473.50459
2019-07-26,446.16274
2019-08-02,438.09221
2019-08-09,477.73453000000006
2019-08-16,535.45669
2019-08-23,608.26595
2019-08-30,625.74211
2019-09-06,738.3257000000001
2019-09-13,742.7074
2019-09-20,712.74494
2019-09-27,801.48634
2019-10-04,847.80324
2019-10-11,834.0441800000001
2019-10-19,876.44083
2019-10-25,754.1528099999999
2019-11-03,775.1408100000001
2019-11-08,810.03826
2019-11-15,817.99972
2019-11-22,818.30735
2019-12-04,792.30656
2019-12-12,787.81403
2019-12-20,820.97825
2020-01-08,855.2874099999999
2020-01-15,845.12798
2020-01-21,830.6262300000001
2020-01-28,995.0938100000001
2020-02-11,798.2759900000001
2020-02-20,885.5949499999999
2020-03-01,761.29865
2020-03-11,833.14772
2020-03-17,735.7807
2020-04-01,593.27716
2020-04-09,758.8392299999999
2020-04-14,741.79058
2020-04-24,711.59278
2020-04-28,707.28474
2020-05-14,641.1513
2020-05-22,547.33645
2020-05-29,491.70820999999995
2020-06-05,510.15087
2020-06-12,570.16008
2020-06-19,552.8586700000001
2020-06-26,491.8081
2020-07-02,583.1801399999999
2020-07-10,513.2665999999999
2020-07-17,549.46771
2020-07-23,552.27573
2020-07-30,589.48618
2020-08-07,591.22883
2020-08-14,661.39517
2020-08-20,668.62301
2020-08-27,686.00161
2020-09-03,687.5753500000001
2020-09-11,750.40454
2020-09-18,681.42911
2020-09-24,907.06147
2020-10-01,744.70173
2020-10-08,797.68067
2020-10-16,756.62345
2020-10-23,815.8565299999999
2020-10-27,866.12331
2020-11-06,752.6487299999999
2020-11-13,742.49136
2020-11-20,733.4772800000001
2020-12-04,753.6447800000001
2020-12-31,752.06023
2021-01-08,793.00902
2021-01-15,783.36671
2021-01-21,773.06927
2021-01-28,783.59081
2021-02-05,740.2396899999999
2021-02-11,751.4741100000001
2021-02-17,1112.09836
2021-02-25,877.0570299999999
2021-03-03,842.60347
2021-03-10,950.65625
2021-03-19,981.39768
2021-03-25,945.20598
2021-03-30,811.73314
2021-04-07,764.84825
2021-04-14,820.33718
2021-05-17,732.27596
2021-05-28,557.50618
2021-06-04,509.74698
2021-06-11,545.52076
2021-06-18,484.13668
2021-06-24,1418.9422
2021-07-02,631.54092
2021-07-09,538.00339
2021-07-15,2530.91746
2021-07-23,450.29299000000003
2021-07-30,746.25338
2021-08-06,537.7043100000001
2021-08-13,664.6661992999999
2021-08-19,683.6533522000001
2021-08-27,690.7400092
2021-09-03,678.5963171999999
2021-10-01,795.6492403999999
2021-10-07,741.9164707
2021-10-22,1130.6010572
2021-10-27,707.1076437
2021-11-03,733.1819587
2021-11-11,709.7685747
2021-12-20,725.3070373
2022-10-15,690.5904184999999
