date,titanium
YYYY-MM-DD,ppb
2020-06-03,2.6656999999999997
2020-06-16,2.59091
2020-06-30,3.56278
2020-07-14,2.87823
2020-07-21,18.752409999999998
2020-07-29,2.98254
2020-08-04,10.494110000000001
2020-08-12,20.854390000000002
2020-08-19,8.76911
2020-08-24,6.26283
2020-09-01,3.22432
2020-09-10,1.97156
2020-09-14,2.85404
2020-09-23,3.44795
2020-09-29,4.11254
2020-10-05,3.73883
2020-10-13,4.61847
2020-10-20,1.97369
2020-10-28,1.95163
2020-11-03,15.644210000000001
2020-11-19,1.25113
2020-12-03,1.92224
2021-01-20,1.5063
2021-02-19,2.1446899999999998
2021-03-09,2.00587
2021-04-28,1.8027000000000002
2021-05-04,4.56746
2021-05-13,8.06062
2021-05-18,1.58277
2021-06-02,2.39368
2021-06-08,1.9689400000000001
2021-06-15,2.3608599999999997
2021-06-22,5.40721
2021-07-01,1.90775
2021-07-07,1.9213
2021-07-20,1.8735396000000002
2021-07-27,0.6385237
2021-08-04,0.5357924000000001
2021-08-10,1.0886759
2021-08-17,0.5262027
2021-08-24,0.5491247
2021-08-31,0.5842453999999999
2021-09-08,0.8923774
2021-09-27,1.4613913
2021-10-04,2.2323141
2021-10-15,0.958148
2021-10-20,0.3568979
2021-10-28,3.3935926
2021-11-04,1.4469528
2021-11-08,1.2669427
2021-12-01,1.4034031999999999
