date,silicon
YYYY-MM-DD,ppb
2014-12-07,2397.7519899999998
2015-02-07,2790.5837500000002
2015-02-19,3043.3093000000003
2015-03-16,2162.5977900000003
2015-04-19,2098.80394
2015-05-02,5860.155089999999
2015-05-11,5681.04042
2015-05-24,6121.9446100000005
2015-06-02,5657.26302
2015-06-18,2735.09967
2015-07-02,5465.0835
2015-07-15,2705.33349
2015-08-02,1919.2005900000001
2015-08-09,1966.2275
2015-10-04,3354.20447
2015-10-13,3390.21029
2015-11-09,6493.30062
2015-11-23,3044.5625
2015-12-09,3172.91748
2015-12-30,3250.2482800000002
2016-01-08,3364.86874
2016-01-18,3132.13272
2016-01-28,3221.8557499999997
2016-02-12,3209.9885799999997
2016-02-21,3297.8638300000002
2016-03-09,3404.96828
2016-03-24,3646.3932
2016-03-31,3183.75037
2016-04-08,2295.29391
2016-04-21,2201.2583799999998
2016-05-02,2358.421812432
2016-05-12,2078.1629344495
2016-05-20,2358.0090966795
2016-05-27,1925.2089006809997
2016-06-04,1594.4093405807998
2016-06-11,1667.5904855736
2016-06-17,1779.7813500000002
2016-06-27,1878.83558
2016-07-08,2078.53093
2016-07-15,2087.2788600000003
2016-07-22,2184.80591
2016-07-29,2190.66774
2016-08-05,2123.03745
2016-08-12,2284.15181
2016-08-19,2273.61662
2016-08-26,2231.6546
2016-09-02,2141.68984
2016-09-09,2199.77628
2016-09-16,2212.23133
2016-09-23,2282.62928
2016-09-30,2158.89013
2016-10-12,2201.95801
2016-10-19,2175.9774899999998
2016-10-27,2224.52836
2016-11-03,2162.3804
2016-11-12,2229.70143
2016-11-23,2108.6306400000003
2016-12-04,2450.10304
2017-02-01,2427.76662
2017-03-19,2553.86208
2017-04-12,2544.73273
2017-04-30,2545.63854
2017-05-11,169936.51750000002
2017-05-14,2366.70602
2017-05-30,2512.62264
2017-06-15,2065.0584799999997
2017-06-30,1968.9830000000002
2017-07-13,1797.2907699999998
2017-07-30,2141.06843
2017-08-25,2284.26652
2017-09-14,2403.19427
2017-09-27,2460.53336
2017-10-14,2146.91794
2017-10-23,2123.91335
2017-11-03,2103.29139
2017-11-16,2328.60954
2018-03-04,2171.09334
2018-03-17,2425.24121
2019-03-21,2552.19954
2019-03-30,2509.99224
2019-04-18,2422.40566
2019-05-02,2527.3191
2019-05-08,2484.20815
2019-05-31,2295.08999
2019-06-05,2145.54171
2019-06-11,2051.0636400000003
2019-06-21,1949.48223
2019-06-27,1883.08125
2019-07-05,1830.26793
2019-07-14,1792.80253
2019-07-19,1766.9983
2019-07-26,1720.42779
2019-08-02,1797.48188
2019-08-09,1866.9482500000001
2019-08-16,1937.6483899999998
2019-08-23,1997.05634
2019-08-30,2340.2418
2019-09-06,4711.26991
2019-09-13,2059.4359
2019-09-20,2028.90981
2019-09-27,2017.14438
2019-10-04,2100.03511
2019-10-11,2095.42792
2019-10-19,1980.349
2020-02-11,2282.21106
2020-02-20,2473.65558
2020-03-01,2355.46651
2020-03-11,2381.55436
2020-03-17,2334.47193
2020-04-03,2350.7536099999998
2020-04-09,2539.75099
2020-04-14,2558.83816
2020-04-24,2493.18729
2020-04-28,2486.32796
2020-05-14,2509.8722900000002
2020-05-22,2382.51772
2020-05-29,2287.15709
2020-06-05,2243.8999999999996
2020-06-12,1926.45667
2020-06-19,1836.26359
2020-06-26,1948.72095
2020-07-02,1965.1394300000002
2020-07-10,1946.6779900000001
2020-07-17,2008.68939
2020-07-23,1926.6721699999998
2020-07-30,2007.5892099999999
2020-08-07,2194.94387
2020-08-14,2112.66244
2020-08-20,2142.5761
2020-08-27,2241.05635
2020-09-03,2360.7425900000003
2020-09-11,2607.21783
2020-09-18,2408.59499
2020-09-24,2464.7171399999997
2020-10-01,2398.1576
2020-10-08,2334.6366900000003
2020-10-16,2405.34721
2020-10-23,2359.86372
2020-10-27,2344.86549
2020-11-06,2351.8837
2020-11-13,2376.18017
2020-11-20,2732.99575
2020-12-04,2350.76698
2020-12-31,2483.02215
2021-01-08,2357.39356
2021-01-15,2393.32446
2021-01-21,2428.9332999999997
2021-01-28,2412.0145199999997
2021-02-05,2347.2087300000003
2021-02-11,2433.2567
2021-02-17,2398.56601
2021-02-25,2401.04923
2021-03-03,2451.29798
2021-03-10,2355.9937600000003
2021-03-19,2362.1348900000003
2021-08-13,2044.1299669
2021-08-19,2016.1688394
2021-08-27,2090.2146209
2021-09-03,2110.9756587
2021-10-01,2299.97019
2021-10-07,2215.0070880000003
2021-10-22,2078.6018955
2021-10-27,2146.3175334
2021-11-03,2050.9294883000002
2021-11-11,1952.4293243
2021-12-20,2122.6054513
2022-10-15,2050.8368394999998
