date,selenium
YYYY-MM-DD,ppb
2015-06-30,2.3271960624
2015-07-07,2.158104168
2015-07-14,2.1075973788
2015-07-21,2.3381346454
2015-07-28,2.3564503352
2015-08-04,2.1491218112
2015-08-11,2.0992239562
2015-08-18,0.953714414
2015-08-26,1.185562524
2016-02-23,0.36683
2016-02-29,0.0
2016-06-29,0.37026000000000003
2016-08-03,0.36339999999999995
2016-08-10,0.48682000000000003
2016-08-17,0.36683
2016-08-23,0.34283
2016-08-23,0.29484
2016-08-23,0.37712
2016-08-24,0.33255
2016-08-31,0.29827
2016-09-07,0.11998999999999999
2016-09-14,0.06171
2016-09-21,0.07885
2016-09-28,0.36683
2016-10-11,0.07542
2016-10-19,0.29614
2016-10-26,0.32189
2016-11-02,0.21888999999999997
2016-11-09,0.28326
2016-11-16,0.23176
2016-11-22,0.0
2016-11-29,0.0
2016-12-06,0.0
2016-12-13,0.0
2016-12-20,0.0
2016-12-27,0.0
2017-01-03,0.0
2017-01-10,0.0
2017-01-17,0.45019000000000003
2017-01-24,0.46279000000000003
2017-01-31,0.21069000000000002
2017-02-07,0.27361
2017-02-14,0.23176
2017-02-21,0.3058
2017-02-28,0.32189
2017-03-07,0.24786
2017-03-14,0.27039
2017-03-21,0.3058
2017-03-28,0.22532
2017-04-04,0.32511
2017-04-11,0.25429
2017-04-18,0.29291999999999996
2017-04-25,0.24786
2017-05-02,0.30258
2017-05-09,0.30258
2017-05-16,0.31494
2017-05-23,0.29072
2017-05-30,0.28163
2017-06-14,0.35128
2017-06-20,0.32099999999999995
2017-06-29,0.23924
2017-07-05,0.26952
2017-07-12,0.26952
2017-07-18,0.25741
2017-07-25,0.27558
2017-08-03,0.24528999999999998
2017-08-09,0.26649
2017-08-16,0.23318
2017-08-23,0.28466
2017-08-29,0.24528999999999998
2017-09-03,0.25741
2017-09-13,0.26346
2017-09-20,0.23015000000000002
2017-09-27,0.35945
2017-10-05,0.32565
2017-10-10,0.27035
2017-10-17,0.26421
2017-10-24,0.16896999999999998
2017-10-31,0.28264
2017-11-07,0.35023
2017-11-14,0.28264
2017-11-21,0.26114
2017-11-28,0.28879
2017-12-03,0.27343
2017-12-12,0.32258000000000003
2017-12-19,0.27343
2017-12-26,0.27957
2018-01-02,0.31337
2018-01-09,0.298
2018-01-16,0.33793999999999996
2018-01-23,0.37857
2018-01-30,0.40554
2018-02-06,0.39204999999999995
2018-02-13,0.3561
2018-02-20,0.30665000000000003
2018-02-27,0.41003
2018-03-06,0.32014
2018-03-13,0.3561
2018-07-16,0.06655
2018-07-23,0.0
2018-09-04,0.04250999999999999
2018-09-10,0.16271999999999998
2018-09-17,0.0
2018-09-24,0.0
2018-10-01,0.0
2018-10-29,0.01846
2019-05-07,0.28546
