date,lead
YYYY-MM-DD,ppb
2019-05-30,0.19675
2019-06-12,0.10421
2019-06-19,0.05008
2019-06-29,1.04897
2019-07-15,0.06917000000000001
2019-07-18,0.050839999999999996
2019-07-24,0.28955000000000003
2019-07-30,0.09291
2019-08-06,0.04698
2019-08-14,0.11706
2019-08-21,0.0677
2020-01-15,0.06367
2020-02-08,0.03294
2020-02-18,0.41144000000000003
2020-03-05,0.04139999999999999
2020-03-18,0.06008
2020-03-30,0.07868
2020-08-30,0.050949999999999995
2020-09-10,0.025419999999999998
2020-09-18,0.018109999999999998
2020-09-28,0.02198
2020-10-06,0.03438
2020-10-16,0.03255
2020-10-23,0.0212
2020-10-30,0.03375
2020-11-06,0.011009999999999999
2020-11-14,0.02114
