date,cadmium
YYYY-MM-DD,ppb
2020-05-22,0.02088
2020-05-29,0.0117
2020-06-05,0.0
2020-06-12,0.0
2020-06-19,0.0
2020-06-26,0.010690000000000002
2020-07-02,0.02046
2020-07-10,0.010610000000000001
2020-07-17,0.0109
2020-07-23,0.03089
2020-07-30,0.0
2020-08-07,0.012669999999999999
2020-08-14,0.03117
2020-08-20,0.0023
2020-08-27,0.00175
2020-09-03,0.0
2020-09-11,0.0013999999999999998
2020-09-18,0.00202
2020-09-24,0.0
2020-10-01,0.00199
2020-10-08,0.00226
2020-10-16,0.0
2020-10-23,0.0
2020-10-27,0.0
2020-11-06,0.0025
2020-11-20,0.01223
2021-05-19,0.0
2021-05-28,0.0
2021-06-04,0.0
2021-06-11,0.0
2021-06-24,0.013430000000000001
2021-07-09,0.0
2021-07-15,0.01315
2021-07-23,0.0
2021-07-30,0.00411
2021-08-06,0.0
2021-08-13,0.0079896
2021-08-27,0.0081646
2021-09-03,0.0067670000000000004
2021-10-01,0.014878
2021-10-07,0.0033898
2021-10-22,0.0386757
2021-11-03,0.1124316
2021-11-11,8.51e-05
