date,cobalt
YYYY-MM-DD,ppb
2019-10-07,0.09
2020-05-26,0.02472
2020-10-09,0.17217
2021-05-25,0.04401000000000001
2021-07-28,0.15767
2021-07-29,0.1609
2021-10-05,0.05907
