date,iron
YYYY-MM-DD,ppb
2014-12-12,6.80067
2015-02-07,2.97645
2015-03-16,2.8416799999999998
2015-04-19,6.10467
2015-05-11,4.74643
2015-05-24,7.348369999999999
2015-06-02,3.8856200000000003
2015-06-18,3.37451
2015-07-02,21.49324
2015-07-15,16.309340000000002
2015-08-02,4.02959
2015-08-09,5.24266
2015-10-04,2.93674
2015-10-13,3.59769
2015-10-26,3.51798
2015-11-09,3.69728
2015-11-23,10.229999999999999
2016-01-28,4.4962800000000005
2016-02-12,5.85168
2016-02-21,4.2157800000000005
2016-03-09,4.66312
2016-03-24,4.03397
2016-03-31,4.50592
2016-04-08,16.06613
2016-04-21,11.21891
2016-05-02,30.409072747
2016-05-12,11.1431139657
2016-05-27,13.035455189299999
2016-06-04,10.3512319632
2016-06-11,8.5292116334
2016-06-17,8.66753
2016-06-27,9.136840000000001
2016-07-08,10.79109
2016-07-15,24.690979999999996
2016-07-22,8.92843
2016-07-29,12.17557
2016-08-05,13.85338
2016-08-12,14.00136
2016-08-19,14.445300000000001
2016-08-26,11.197410000000001
2016-09-02,26.84778
2016-09-09,11.276209999999999
2016-09-16,22.409080000000003
2016-09-23,74.96607
2016-09-30,34.20093
2016-10-12,10.61866
2016-10-19,9.08878
2016-10-27,6.441599999999999
2016-11-03,8.64247
2016-11-12,6.29528
2016-11-23,8.3127
2016-12-04,8.33724
2017-03-19,8.73919
2017-04-12,15.205649999999999
2017-04-30,11.3075
2017-06-30,50.863870000000006
2017-07-30,10.78816
2017-08-25,12.65587
2017-09-14,7.9993
2017-09-27,21.94984
2017-10-14,11.059909999999999
2017-10-23,11.39563
2017-11-03,7.42732
2017-11-16,12.68935
2018-03-03,6.84292
2018-05-25,8.59052
2018-06-08,8.35591
2018-06-15,6.38003
2018-06-25,12.40125
2018-07-09,5.90803
2018-07-15,5.65879
2018-08-10,5.51886
2018-08-17,6.51217
2018-08-24,7.762700000000001
2018-09-07,7.311299999999999
2018-09-14,16.09332
2018-10-05,17.219079999999998
2018-10-12,24.190939999999998
2018-10-18,6.363370000000001
2018-10-25,6.604710000000001
2018-11-02,5.1467600000000004
2018-11-10,7.911770000000001
2018-11-17,5.625109999999999
2019-02-27,8.11064
2019-03-30,5.22188
2019-04-18,6.0130300000000005
2019-05-08,4.84318
2019-06-05,61.71454
2019-06-11,3.68714
2019-06-21,10.98893
2019-06-27,11.75718
2019-07-05,8.97362
2019-07-14,11.63889
2019-07-19,17.63284
2019-07-26,15.82519
2019-08-02,8.06461
2019-08-09,10.56183
2019-08-16,9.4177
2019-08-23,384.61694
2019-08-30,411.70835
2019-09-06,244.80281000000002
2019-09-13,16.48958
2019-09-20,11.166739999999999
2019-09-27,14.15488
2019-10-04,13.13789
2019-10-11,12.03835
2019-10-19,12.263850000000001
2019-10-25,3.11946
2019-11-03,2.32995
2019-11-08,1.95126
2019-11-15,4.014889999999999
2019-11-22,7.10961
2019-12-04,12.26989
2019-12-12,4.6708
2019-12-20,2.41071
2020-01-08,1.26327
2020-01-21,10.22766
2020-01-28,2.1122199999999998
2020-02-11,0.19657000000000002
2020-02-20,0.24624000000000001
2020-03-11,0.19391999999999998
2020-03-17,0.0
2020-04-03,1.58694
2020-04-09,9.29713
2020-04-14,4.8064
2020-04-24,1.3921000000000001
2020-05-22,7.62804
2020-05-29,16.5991
2020-06-05,1.66465
2020-06-12,29.34885
2020-06-19,35.41795
2020-06-26,0.0
2020-07-02,6.36235
2020-07-10,0.13918
2020-07-17,17.4775
2020-07-23,0.69868
2020-07-30,0.53052
2020-08-07,1.53708
2020-08-14,2.38286
2020-08-20,4.09536
2020-08-27,2.3175299999999996
2020-09-03,15.11714
2020-09-11,0.93726
2020-09-18,21.951990000000002
2020-09-24,22.24833
2020-10-01,7.6096200000000005
2020-10-08,10.189490000000001
2020-10-16,8.424890000000001
2020-10-23,8.02178
2020-10-27,545.50162
2020-11-06,4.45636
2020-11-13,6.14456
2020-12-04,22.9316
2021-01-15,1.12509
2021-01-28,5.297079999999994
2021-02-11,3.5992399999999947
2021-03-03,27.19314
2021-03-19,12.692300000000003
2021-03-25,12.80642
2021-04-07,6.03127
2021-05-17,11.25555
2021-05-28,3.33611
2021-06-04,9.01454
2021-06-11,12.10887
2021-06-18,5.1373999999999995
2021-06-24,20.85629
2021-07-02,5.696630000000001
2021-07-09,1.37319
2021-07-15,32.75166
2021-07-30,10.83558
2021-08-06,8.01337
2021-08-13,1.1600441
2021-08-19,0.9816142
2021-08-27,6.5102309
2021-09-03,14.72949
2021-10-01,41.760671599999995
2021-10-07,40.977087499999996
2021-10-15,6.1656661999999995
2021-10-22,18.6838583
2021-10-27,17.505375400000002
2021-11-03,47.616375
2021-11-11,12.9910651
