date,chromium
YYYY-MM-DD,ppb
2015-03-16,0.06928000000000001
2015-04-19,0.0594
2015-05-02,0.30711
2015-05-11,0.26239999999999997
2015-05-24,0.24573
2015-06-02,0.30176000000000003
2015-06-18,0.21989999999999998
2015-07-02,0.30522
2015-07-15,0.18345
2015-08-02,0.28003
2015-08-09,0.66062
2015-10-04,0.25590999999999997
2015-10-13,0.18256999999999998
2015-10-26,0.27336
2015-11-09,0.36480999999999997
2015-11-23,0.18429
2016-04-08,0.26581
2016-04-21,0.62755
2016-05-02,0.7806572948
2016-05-12,0.8656815156
2016-05-20,0.4747934142
2016-05-27,0.574778244
2016-06-04,0.6055760001
2016-06-11,0.5415511458
2016-06-17,0.54998
2016-06-27,0.8137099999999999
2016-07-08,0.74451
2016-07-15,0.45175
2016-07-22,0.42727000000000004
2016-07-29,0.57836
2016-08-05,0.80864
2016-08-12,0.57927
2016-08-19,0.31215
2016-08-26,0.32452000000000003
2016-09-02,0.34838
2016-09-09,0.57789
2016-09-16,0.35101
2016-09-23,0.4363
2016-09-30,0.65409
2016-10-12,0.43516
2016-10-19,0.61428
