date,arsenic
YYYY-MM-DD,ppb
2019-10-07,0.05315
2020-05-26,0.0
2020-10-09,0.0
2020-10-13,0.05182
2020-10-21,0.04007
2020-10-28,0.08973
2020-11-04,0.0
2020-11-11,0.03247
2020-11-17,0.07149
2020-11-25,0.10657
2020-12-03,0.12728
2020-12-09,0.11346
2020-12-16,0.10576
2020-12-26,0.07377
2020-12-31,0.08619
2021-01-07,0.13722
2021-01-14,0.12732
2021-01-21,0.07092
2021-01-28,0.07523
2021-02-07,0.051770000000000004
2021-02-11,0.11394
2021-02-19,0.060419999999999995
2021-02-27,0.14421
2021-03-05,0.08640999999999999
2021-03-12,0.10948
2021-03-19,0.0854
2021-03-26,0.05246
2021-04-03,0.047270000000000006
2021-04-09,0.08460999999999999
2021-04-16,0.09748
2021-04-23,0.10643
2021-04-30,0.1305
2021-05-19,0.09341
2021-05-25,0.17047
2021-05-26,0.16466000000000003
2021-06-02,0.12448000000000001
2021-06-09,0.0990063
2021-06-16,0.0824126
2021-06-23,0.07685260000000001
2021-06-30,0.0973073
2021-07-07,0.0826578
2021-07-14,0.0590804
2021-07-21,0.0702583
2021-07-28,0.07354000000000001
2021-08-04,0.1113922
2021-08-11,0.0771719
2021-08-18,0.13033650000000002
2021-09-01,0.0975181
2021-09-08,0.08620829999999999
2021-09-15,0.0785281
2021-09-22,0.0610241
2021-09-29,0.07364380000000001
2021-10-05,0.03678
2021-10-06,0.06947489999999999
2021-10-13,0.07868689999999999
2021-10-20,0.0891247
2021-10-27,0.075309
2021-11-03,0.2371265
2021-11-10,0.0785898
2021-11-17,0.09619749999999999
2021-11-24,0.0807964
2021-12-01,0.0664599
2021-12-08,0.07535059999999999
2021-12-16,0.1133808
2021-12-23,0.11419699999999999
