date,sodium
YYYY-MM-DD,ppb
2019-05-30,77088.23442
2019-06-12,74602.08245
2019-06-19,75196.90472
2019-06-29,74249.38418
2019-07-15,72822.73273
2019-07-18,74994.84848
2019-07-24,70802.07133
2019-07-30,71052.72669
2019-08-06,69660.56255
2019-08-14,71158.23149
2019-08-21,68675.46612
2020-01-15,72307.365
2020-02-08,70194.09406
2020-02-18,81636.33810000001
2020-03-05,70341.2699
2020-03-18,70907.80672
2020-03-30,69713.61692
2020-08-30,73130.36371
2020-09-10,72948.92321000001
2020-09-18,71063.86259
2020-09-28,70751.44873999999
2020-10-06,72058.8686
2020-10-16,71253.61452
2020-10-23,71936.34656
2020-10-30,72344.37535
2020-11-06,70514.13276000001
2020-11-14,73322.46811
