date,chromium
YYYY-MM-DD,ppb
2014-12-12,0.14464
2015-01-24,0.14441
2015-02-07,0.22332999999999997
2015-03-16,0.16136999999999999
2015-04-19,0.19636
2015-05-11,0.37317
2015-05-24,0.37112
2015-06-02,0.35967
2015-06-18,0.34144
2015-07-02,0.36596999999999996
2015-07-15,0.5526099999999999
2015-08-02,0.75084
2015-08-09,0.7756200000000001
2015-10-04,2.38845
2015-10-13,0.34119999999999995
2015-10-26,0.46715
2015-11-09,0.28515999999999997
2015-11-23,0.51301
2015-12-09,0.18929
2016-01-28,0.19524
2016-02-12,0.19095
2016-02-21,0.6318699999999999
2016-03-09,0.47609999999999997
2016-03-24,0.40245000000000003
2016-03-31,0.34241
2016-04-08,0.75629
2016-04-21,0.70533
2016-05-02,0.6589225904999999
2016-05-27,0.5437038236
2016-06-04,0.901416276
2016-06-17,0.96942
2016-06-27,0.7899
2016-07-08,0.67786
2016-07-15,0.39758000000000004
2016-07-22,0.46324
2016-07-29,0.43450999999999995
2016-08-05,0.49276
2016-08-12,0.7329600000000001
2016-08-19,0.7779800000000001
2016-08-26,0.43524
2016-09-02,6.1853
2016-09-09,0.3146
2016-09-16,0.47746
2016-09-23,0.52414
2016-09-30,0.5541900000000001
2016-10-12,0.53931
2016-10-19,0.6403000000000001
2016-10-27,0.8262400000000001
2016-11-03,0.72171
2016-11-12,0.63073
2016-11-23,0.65985
2017-03-19,0.9504999999999999
2017-04-12,0.94265
2017-04-30,1.16543
2017-06-30,1.37608
2017-07-30,0.58019
2017-08-25,0.8093699999999999
2017-09-14,0.57449
2017-09-27,0.76335
2017-10-14,0.6822
2017-10-23,0.57619
2017-11-03,0.56911
2017-11-16,0.6694500000000001
2018-03-03,0.13444
2018-05-25,1.2350999999999999
2018-06-08,1.5609799999999998
2018-06-15,0.86474
2018-06-25,1.20791
2018-07-09,0.14577
2018-07-15,0.16114
2018-08-10,0.17954
2018-08-17,0.19871
2018-08-24,0.5208999999999999
2018-09-07,0.29077
2018-09-14,0.36087
2018-09-28,0.86416
2018-10-05,0.36151999999999995
2018-10-12,0.17143999999999998
2018-10-18,0.31057
2018-10-25,0.24344000000000002
2018-11-02,0.61965
2018-11-10,0.23481
2018-11-17,0.20368
2019-02-27,0.2068
2019-03-30,0.23622
2019-04-18,0.22436
2019-05-08,0.14145
2019-06-05,0.1765
2019-06-11,0.16747
2019-06-21,1.04675
2019-06-27,1.30475
2019-07-05,1.67083
2019-07-14,1.55606
2019-07-19,0.69414
2019-07-26,1.3880700000000001
2019-08-02,1.5234100000000002
2019-08-09,2.70395
2019-08-16,1.2553100000000001
2019-08-23,87.21243
2019-08-30,171.85715
2019-09-06,36.45285
2019-09-13,96.49104
2019-09-20,0.74876
2019-09-27,0.9642000000000001
2019-10-04,1.8864800000000002
2019-10-11,0.31339
2019-10-19,0.28295000000000003
2019-10-25,0.9590700000000001
2019-11-03,1.22791
2019-11-08,0.82439
2019-11-15,0.78866
2019-11-22,76.45646
2019-12-04,2.3395099999999998
2019-12-12,1.1861199999999998
2019-12-20,0.86511
2020-01-08,0.78043
2020-01-21,2.10826
2020-01-28,2.46632
2020-02-11,0.24949
2020-02-20,0.49341999999999997
2020-03-11,0.2234
2020-03-17,0.26123
2020-04-03,1.09504
2020-04-09,0.87253
2020-04-14,0.51094
2020-04-24,0.33256
2020-05-22,0.16068
2020-05-29,0.35488
2020-06-05,0.31449
2020-06-12,0.25141
2020-06-19,0.27810999999999997
2020-06-26,0.2203
2020-07-02,0.32182
2020-07-10,0.3152
2020-07-17,0.92555
2020-07-23,0.30376000000000003
2020-07-30,0.25626
2020-08-07,0.27075
2020-08-14,0.40588
2020-08-20,0.50044
2020-08-27,0.16525
2020-09-03,0.23639
2020-09-11,0.40598
2020-09-18,0.34723
2020-09-24,0.30571000000000004
2020-10-01,0.27392
2020-10-08,0.38462
2020-10-16,0.54169
2020-10-23,0.47226999999999997
2020-10-27,0.29864999999999997
2020-11-06,0.29057
2020-11-13,0.43122
2020-12-04,0.36485999999999996
2021-01-08,0.37972
2021-01-15,0.34231999999999996
2021-01-28,0.30185
2021-02-11,0.7405
2021-03-03,2.24034
2021-03-19,0.13174
2021-03-25,0.30854
2021-04-07,0.36954
2021-05-17,0.06306
2021-05-28,0.15344
2021-06-04,0.2788
2021-06-11,0.1634
2021-06-18,0.20750999999999997
2021-06-24,0.19648
2021-07-02,0.20695000000000002
2021-07-09,0.16543
2021-07-15,0.24021
2021-07-23,0.34570999999999996
2021-07-30,0.23345000000000002
2021-07-31,0.057050000000000003
2021-08-06,0.29968
2021-08-13,0.15820669999999998
2021-08-19,0.14312170000000002
2021-08-27,0.2019361
2021-09-03,0.17928
2021-10-01,0.2341886
2021-10-07,1.605173
2021-10-22,0.31827099999999997
2021-10-27,0.1752457
2021-11-03,0.2298
2021-11-11,0.278036
2022-10-15,0.24597460000000002
