date,germanium
YYYY-MM-DD,ppb
2014-12-12,0.00872
2015-04-19,0.0
2015-05-11,0.01255
2015-05-24,0.01554
2015-06-02,0.009340000000000001
2015-06-18,0.00669
2015-07-02,0.010939999999999998
2015-07-15,0.0
2015-08-02,0.00832
2015-08-09,0.00348
2015-10-04,0.0
2015-10-13,0.00767
2015-10-26,0.0042499999999999994
2015-11-09,0.01216
2015-11-23,0.01471
2016-04-08,0.0
2016-04-21,0.0
2016-05-02,0.0
2016-05-20,0.0044055012
2016-05-27,0.0
2016-06-04,0.005227593
2016-06-11,0.0043705305
2016-06-17,0.0
2016-06-27,0.00687
2016-07-08,0.00928
2016-07-15,0.01151
2016-07-22,0.0038699999999999997
2016-07-29,0.0
2016-08-05,0.0
2016-08-12,0.0
2016-08-19,0.0
2016-08-26,0.0
2016-09-02,0.0
2016-09-09,0.00366
2016-09-16,0.0
2016-09-23,0.00196
2016-09-30,0.0008600000000000001
2016-10-12,0.0
2016-10-19,0.0
2016-10-27,0.00419
2016-11-03,0.00266
2016-11-12,0.0
2016-11-23,0.0
2016-12-04,0.0
2017-05-14,0.00181
2017-05-30,0.0
2017-06-15,0.00118
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.004070000000000001
2017-09-14,0.00613
2017-09-27,0.00121
2017-10-14,0.00137
2017-10-23,0.00046
2017-11-03,0.002
2017-11-16,0.00099
2018-03-03,0.0
2018-05-25,0.00239
2018-06-08,0.00549
2018-06-15,0.00448
2018-06-25,0.008239999999999999
2018-07-09,0.0030299999999999997
2018-07-15,0.0
2018-08-10,0.00874
2018-08-17,0.0
2018-08-24,0.00544
2018-09-07,0.0131
2018-09-14,0.01567
2018-09-21,0.01203
2018-09-28,0.01764
