date,titanium
YYYY-MM-DD,ppb
2014-12-07,1.01431
2015-02-07,1.22564
2015-02-19,1.38962
2015-03-16,1.1875499999999999
2015-04-19,0.98313
2015-05-02,1.71814
2015-05-11,1.53358
2015-05-24,1.90159
2015-06-02,1.94431
2015-06-18,1.31487
2015-07-02,1.8404
2015-07-15,1.0963
2015-08-02,0.9744200000000001
2015-08-09,0.97703
2015-10-04,0.38523
2015-10-13,0.23962
2015-11-09,1.90573
2015-11-23,1.43324
2015-12-09,1.6356799999999998
2015-12-30,1.3164500000000001
2016-01-08,1.30221
2016-01-18,0.7935599999999999
2016-01-28,0.76186
2016-02-12,0.70392
2016-02-21,1.0356400000000001
2016-03-09,0.9646100000000001
2016-03-24,1.26506
2016-03-31,1.21646
2016-04-08,1.57297
2016-04-21,1.11575
2016-05-02,0.6448363992
2016-05-12,0.0
2016-05-20,0.0
2016-05-27,0.6697572155999999
2016-06-04,0.5357877936
2016-06-11,1.0309154139999999
2016-06-17,0.83501
2016-06-27,0.80899
2016-07-08,0.99352
2016-07-15,2.00826
2016-07-22,0.9763
2016-07-29,0.8832099999999999
2016-08-05,1.14804
2016-08-12,1.23605
2016-08-19,1.02446
2016-08-26,1.16857
2016-09-02,0.95025
2016-09-09,0.6955600000000001
2016-09-16,1.33766
2016-09-23,1.13465
2016-09-30,0.75845
2016-10-12,0.24464
2016-10-19,0.0
2016-10-27,1.15916
2016-11-03,1.06542
2016-11-12,1.19478
2016-11-23,0.59973
2016-12-04,0.0
2017-02-01,0.0
2017-03-19,0.11835
2017-04-12,0.0
2017-04-30,0.08035
2017-05-11,0.5222
2017-05-14,1.8690000000000002
2017-05-30,4.6935
2017-06-15,0.78911
2017-06-30,0.75801
2017-07-13,0.5164599999999999
2017-07-30,0.47226999999999997
2017-08-25,0.8892100000000001
2017-09-14,1.12263
2017-09-27,1.03672
2017-10-14,1.33663
2017-10-23,2.0586599999999997
2017-11-03,1.23481
2017-11-16,1.0580399999999999
2018-03-04,0.68701
2018-03-17,0.0
2019-03-21,0.69544
2019-03-30,0.9741900000000001
2019-04-18,1.6314699999999998
2019-05-02,0.67258
2019-05-08,0.80868
2019-05-31,0.8396199999999999
2019-06-05,9.28857
2019-06-11,0.96583
2019-06-21,1.67998
2019-06-27,12.553149999999999
2019-07-05,11.376999999999999
2019-07-14,3.5858499999999998
2019-07-19,12.98469
2019-07-26,0.9446599999999999
2019-08-02,46.81879000000001
2019-08-09,2.65743
2019-08-16,2.20025
2019-08-23,2.0671999999999997
2019-08-30,5.98104
2019-09-06,28.427570000000003
2019-09-13,2.0313999999999997
2019-09-20,1.40606
2019-09-27,0.8181700000000001
2019-10-04,1.14053
2019-10-11,1.0969900000000001
2019-10-19,1.20973
2020-02-11,1.06527
2020-02-20,1.2503600000000001
2020-03-01,1.14473
2020-03-11,1.18673
2020-03-17,0.8143699999999999
2020-04-03,1.26896
2020-04-09,0.63963
2020-04-14,1.26609
2020-04-24,1.78446
2020-04-28,0.70312
2020-05-14,1.03731
2020-05-22,1.03962
2020-05-29,0.7077500000000001
2020-06-05,0.78293
2020-06-12,0.73113
2020-06-19,0.57245
2020-06-26,0.7585799999999999
2020-07-02,0.67199
2020-07-10,0.48771000000000003
2020-07-17,1.63027
2020-07-23,0.4251
2020-07-30,0.5927600000000001
2020-08-07,1.35731
2020-08-14,0.54977
2020-08-20,0.41671
2020-08-27,0.6852999999999999
2020-09-03,1.1432499999999999
2020-09-11,0.76141
2020-09-18,0.7600600000000001
2020-09-24,1.48752
2020-10-01,0.6081099999999999
2020-10-08,1.12201
2020-10-16,0.59884
2020-10-23,0.60753
2020-10-27,0.38524
2020-11-06,0.72529
2020-11-13,0.31156
2020-11-20,3.23701
2020-12-04,0.54365
2020-12-31,0.6521699999999999
2021-01-08,0.6718000000000001
2021-01-15,0.53855
2021-01-21,0.49327000000000004
2021-01-28,1.81454
2021-02-05,1.3273199999999998
2021-02-11,4.23403
2021-02-17,1.39995
2021-02-25,5.33137
2021-03-03,3.23582
2021-03-10,2.24752
2021-03-19,1.59266
2021-08-13,0.7743466999999999
2021-08-19,0.3891308
2021-08-27,0.4384669
2021-09-03,0.7409229
2021-10-01,0.5143594
2021-10-07,0.7224116999999999
2021-10-22,0.391266
2021-10-27,2.3023291
2021-11-03,2.4648249
2021-11-11,0.9367462999999999
2021-12-20,1.0128473
2022-10-15,0.400094
