date,magnesium
YYYY-MM-DD,ppb
2020-06-03,19860.83261
2020-06-16,20034.34226
2020-06-30,20670.53331
2020-07-14,21035.71237
2020-07-29,21019.57754
2020-08-04,21388.19518
2021-04-28,21638.65836
2021-05-04,21121.315749999998
2021-05-13,22137.32194
2021-05-18,21696.67356
2021-06-02,21932.43601
2021-06-08,22914.865429999998
2021-06-22,26320.08993
2021-07-07,24340.120750000002
2021-07-16,22426.9283905
2021-07-20,21979.022164399998
2021-07-27,23158.552416500002
2021-08-04,22881.2214981
2021-08-10,23392.342442999998
2021-08-17,24956.358659
