date,uranium
YYYY-MM-DD,ppb
2019-04-27,0.49418999999999996
2019-05-10,0.5799
2019-05-19,0.52417
2019-05-24,0.45445
2019-06-03,0.99022
2019-06-18,1.3542399999999999
2019-07-01,1.85225
2019-07-09,2.01056
2019-07-16,1.4618700000000002
2019-08-15,0.94373
2019-09-05,1.1496199999999999
2019-10-02,0.97105
2020-04-21,0.6755800000000001
2020-05-13,0.22235000000000002
2020-05-28,0.27858
2020-06-10,0.6213599999999999
2020-06-24,0.9192400000000001
2020-07-08,0.66286
2020-08-04,0.72533
2020-08-26,0.94515
2020-09-29,0.66439
2020-11-03,0.47852
2021-05-10,0.34999
2021-05-24,0.25961
2021-06-17,0.3219057
2021-06-30,0.4545966
2021-07-22,0.40378450000000005
2021-08-20,0.370332
2021-09-30,0.4968281
