date,cadmium
YYYY-MM-DD,ppb
2017-06-28,0.31845
2017-06-29,0.26087
2017-06-30,0.28395
2017-07-01,0.27965
2017-07-02,0.28438
2017-07-03,0.32693
2017-07-04,0.27873
2017-07-05,0.27651
2017-07-06,0.30012
2017-07-07,0.35366000000000003
2017-07-08,0.31869000000000003
2017-07-09,0.30699
2017-07-10,0.31259000000000003
2017-07-11,0.27788
2017-07-12,0.28513
2017-07-13,0.40885
2017-07-14,0.47075
2017-07-15,0.42008999999999996
2017-07-18,0.37739
2017-07-19,0.37832
2017-07-20,0.37507999999999997
2017-07-21,0.26633
2017-07-22,0.49426
2017-07-23,0.22088
2017-07-24,0.1396
2017-07-25,0.24643
2017-07-26,0.26023999999999997
2017-07-27,0.38927999999999996
2017-07-28,0.2828
2017-07-29,0.34153
2017-07-30,0.37247
2017-07-31,0.4517
2017-08-01,0.1776
2017-08-02,0.31051
2017-08-03,0.31148
2017-08-04,0.41638000000000003
2017-08-05,0.20962000000000003
2017-08-06,0.38527
2017-08-07,0.38166
2017-08-08,0.18599000000000002
2017-08-09,0.34382999999999997
2017-08-10,0.59744
2017-08-11,0.5009600000000001
2017-08-12,0.45258
2017-08-13,0.43672
2017-08-14,0.41819
2017-08-15,0.40596
2017-08-16,0.39686
2017-08-17,0.41186
2017-08-18,0.40468
2017-08-19,0.4401
2017-08-20,0.37098
2017-08-21,0.1603
2017-08-22,0.16698999999999997
2017-08-23,0.30429
2017-08-24,0.28345
2017-08-25,0.29258
2017-08-26,0.18662
2017-08-27,0.21423999999999999
2017-08-28,0.25490999999999997
2017-08-29,0.14784999999999998
2017-08-30,0.16716999999999999
2017-08-31,0.20334000000000002
2017-09-01,0.20525000000000002
2017-09-02,0.22482
2017-09-03,0.14076
2017-09-04,0.20389000000000002
2017-09-05,0.209
2017-09-17,0.09701
2017-09-18,0.11285
2017-09-19,0.30251
2017-09-20,0.16636
2017-09-21,0.18295
2017-09-22,0.10356000000000001
2017-09-23,0.21539
2017-09-24,0.15819
2017-09-25,0.21444999999999997
2017-09-26,0.10679
2017-09-27,0.21952
2017-09-28,3.2654300000000003
2017-09-29,0.1589
2017-09-30,0.10291
2017-10-01,0.18844
2017-10-02,0.22043000000000001
2017-10-03,0.24393
2017-10-04,0.31981000000000004
2017-10-05,0.23162
2017-10-06,0.19252999999999998
2017-10-07,0.17569
2017-10-08,0.18536
2017-10-09,0.2044
2017-10-10,0.26327
2017-10-20,0.29642999999999997
2017-11-07,0.29069999999999996
2018-04-28,1.02171
2018-04-29,0.90751
2018-04-30,1.75882
2018-05-01,1.25724
2018-05-02,1.36931
2018-05-03,1.69775
2018-05-04,1.6836699999999998
2018-05-05,1.44799
2018-05-06,1.2945000000000002
2018-05-07,0.66263
2018-05-08,0.84355
2018-05-09,0.98991
2018-05-10,0.50131
2018-05-11,0.50116
2018-05-12,0.5761999999999999
2018-05-13,0.68841
2018-05-14,0.6711699999999999
2018-05-15,0.68176
2018-05-16,0.54542
2018-05-17,0.5642
2018-05-18,0.5242
2018-05-19,0.59475
2018-05-20,0.6566700000000001
2018-05-21,0.65974
2018-05-22,0.63363
2018-05-23,0.69661
2018-05-24,0.7127300000000001
2018-05-25,0.56254
