date,lithium
YYYY-MM-DD,ppb
2019-04-27,86.68395000000001
2019-05-10,93.47756000000001
2019-05-19,92.82544
2019-05-24,93.14871
2019-06-03,88.56639
2019-06-18,87.41879
2019-07-01,89.76639
2019-07-09,89.45172
2019-07-16,86.22928
2019-08-15,82.26912999999999
2019-09-05,75.65716
2019-10-02,83.17778000000001
2020-04-21,89.42746
2020-05-13,63.21742999999999
2020-05-28,62.78959999999999
2020-06-10,63.459700000000005
2020-06-24,63.026489999999995
2020-07-08,67.1306
2020-08-04,68.84479999999999
2020-08-26,67.40135000000001
2020-09-29,70.38651
2020-11-03,73.93352
2021-05-10,69.50708
2021-05-24,73.6031
2021-06-17,52.493548700000005
2021-06-30,62.6957935
2021-07-22,63.52980600000001
2021-08-20,69.7208363
