date,iron
YYYY-MM-DD,ppb
2019-04-27,15763.33151
2019-05-10,12594.10093
2019-05-19,9857.78801
2019-05-24,8277.97986
2019-06-03,6071.654710000001
2019-06-18,3740.42308
2019-07-01,3245.6502499999997
2019-07-09,2698.9885299999996
2019-07-16,1983.5323500000002
2019-08-15,3997.8295900000003
2019-09-05,5392.07949
2019-10-02,5044.67528
2020-04-21,8667.12893
2020-05-13,3104.87342
2020-05-28,3361.16516
2020-06-10,2839.32992
2020-06-24,2180.70194
2020-07-08,1841.13209
2020-08-04,1659.57091
2020-08-26,2227.36245
2020-09-29,2461.35567
2020-11-03,1798.7267299999999
2021-05-10,4544.0982
2021-05-24,1833.98696
2021-06-17,1643.8599623
2021-06-30,1305.8544565
2021-07-22,930.7486432000001
2021-08-20,981.2545255
2021-09-30,744.0295363
