date,strontium
YYYY-MM-DD,ppb
2016-10-15,308.62214
2016-10-19,312.1336
2016-10-27,302.14128
2016-11-03,304.85143
2016-11-12,298.33199
2016-11-23,277.32229
2016-12-19,274.00291
2017-03-19,399.29350999999997
2017-04-11,272.22563
2017-04-12,329.82163
2017-05-14,202.47398
2017-05-30,267.07772
2017-06-01,220.07297999999997
2017-06-15,246.23753
2017-06-30,270.48342
2017-07-13,286.8972
2017-07-30,297.50686
2017-08-25,313.48424
2017-09-13,324.4035
2017-09-27,341.59514
2017-10-14,353.43054
2017-10-23,345.70975
2017-10-29,323.23265999999995
2017-11-03,347.48589000000004
2017-11-16,348.68863
2017-12-19,316.94268999999997
2018-01-05,312.29437
2018-01-25,313.63587
2018-03-03,282.57995
2018-03-17,283.17067000000003
2018-05-07,209.82439
2018-05-25,215.70583
2018-06-03,233.09179
2018-06-15,236.21409
2018-06-25,246.87007999999997
2018-07-11,259.31469
2018-07-15,263.93663
2018-08-10,276.68612
2018-08-17,283.46869000000004
2018-08-24,290.47167
