date,uranium
YYYY-MM-DD,ppb
2017-04-14,0.08356000000000001
2017-05-06,0.0594
2017-06-22,0.09845
2017-10-12,0.03422
2017-10-24,0.03029
2018-03-07,0.04352
2018-04-02,0.0351
2019-04-06,0.0026699999999999996
2019-04-06,0.00218
2020-07-14,0.01511
2020-07-21,0.03702
2020-07-29,0.05185000000000001
2020-08-04,0.0354
2020-08-12,0.01338
2020-08-19,0.04045
2020-08-24,0.04314
2020-09-01,0.0
2020-09-10,0.0
2020-09-14,0.00356
2020-09-23,0.011999999999999999
2020-09-29,0.25569000000000003
2020-10-05,0.03732
2020-10-13,0.00654
2020-10-20,0.0
2020-10-28,0.0
2020-11-03,0.0
2020-11-10,0.0
2020-11-19,0.01046
2020-12-03,0.0229
2021-01-20,0.00996
2021-02-19,0.011460000000000001
2021-03-09,0.0121
2021-04-05,0.028900000000000002
2021-04-28,0.00798
2021-05-04,0.009810000000000001
2021-05-13,0.01763
2021-05-18,0.024589999999999997
2021-05-27,0.01935
2021-06-02,0.02993
2021-06-08,0.042960000000000005
2021-06-15,0.03157
2021-06-22,0.04558
2021-07-01,0.07708999999999999
2021-07-07,0.02661
2021-07-16,0.0595301
2021-07-20,0.0540165
2021-07-27,0.0475018
2021-08-04,0.0168114
2021-08-10,0.019662600000000002
2021-08-17,0.0166855
2021-08-24,0.0171545
2021-08-31,0.0171371
2021-09-08,0.0193232
2021-09-27,0.021137799999999998
2021-10-04,0.0540847
2021-10-15,0.0580368
2021-10-20,0.060781
2021-10-28,0.062331
2021-11-04,0.0772876
2021-11-08,0.0530023
2021-12-01,0.033631999999999995
