date,sodium
YYYY-MM-DD,ppb
2020-05-21,3962.8263199999997
2020-05-27,2290.01025
2020-06-03,2234.02486
2020-06-09,2347.95553
2020-06-17,5189.8548200000005
2020-06-25,2685.07899
2020-06-30,2704.51998
2020-07-07,2778.7513799999997
2020-07-14,3020.8543200000004
2020-07-22,3059.5782400000003
2020-07-27,2955.50408
2020-08-02,3004.12149
2020-08-10,3220.25335
2020-08-18,3300.63578
2020-08-24,3345.18803
2020-08-31,3362.0858900000003
2020-09-15,3326.21957
2020-09-22,3305.34398
2020-09-28,3437.95518
2020-10-08,3451.0734
2020-10-14,3461.00895
2020-10-22,3430.9315199999996
2020-11-11,3271.05581
2020-12-08,3452.8371199999997
2020-12-29,3325.94515
2021-01-29,2991.44205
2021-02-09,2906.0107599999997
2021-03-10,3410.1969000000004
2021-04-16,2995.0035000000003
2021-04-29,2750.1185600000003
2021-05-12,2421.30622
2021-05-20,2465.62443
2021-05-26,2527.95285
2021-06-01,2581.4279800000004
2021-06-08,2694.49167
2021-06-14,2915.23059
2021-06-21,2959.6644800000004
2021-06-29,3050.26372
2021-07-08,2975.3635200000003
2021-07-21,3137.6470999999997
2021-08-05,3121.4784
2021-08-11,3165.3381200000003
2021-08-18,3246.61951
2021-08-26,3159.37099
2021-08-30,3321.94818
2021-09-12,3398.88895
2021-10-06,3324.66764
2021-10-13,3043.113356
2021-11-05,2972.956267
2021-11-12,3119.0959329999996
2021-12-16,18037.76957
