date,lithium
YYYY-MM-DD,ppb
2020-06-03,10.505370000000001
2020-06-16,12.27787
2020-06-30,11.312560000000001
2020-07-14,12.88742
2020-07-29,12.505550000000001
2020-08-04,12.55369
2021-04-28,10.31938
2021-05-04,11.172880000000001
2021-05-13,10.51596
2021-05-18,10.243089999999999
2021-06-02,10.51609
2021-06-08,11.39593
2021-06-22,15.287299999999998
2021-07-07,13.66802
2021-07-16,13.064761
2021-07-20,12.7759087
2021-07-27,13.963394300000001
2021-08-04,13.9672821
2021-08-10,14.5037793
2021-08-17,14.3278511
