date,beryllium
YYYY-MM-DD,ppb
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.10883999999999999
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-22,0.01406
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.1375
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.11296
2016-07-26,0.11726
2016-07-27,0.13293
2016-07-28,0.07586999999999999
2016-07-29,0.04919
2016-07-30,0.040709999999999996
2016-07-31,0.01093
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,7.999999999999999e-05
2016-08-06,0.01158
2016-08-07,0.00792
2016-08-08,0.0
2016-08-09,0.00278
2016-08-10,0.01405
2016-08-11,0.00163
2016-08-12,0.0
2016-08-13,0.00252
2016-08-14,0.0015400000000000001
2016-08-15,0.01312
2016-08-16,0.06444
2016-08-17,0.00462
2016-08-18,0.01182
2016-08-19,0.00872
2016-08-20,0.00313
2016-08-21,0.0
2016-08-22,0.00039
2016-08-23,0.00598
2016-08-24,0.0015899999999999998
2016-08-25,0.0
2016-08-26,0.00391
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0017599999999999998
2016-08-31,0.00137
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.12481
2016-09-04,0.02199
2016-09-05,0.0020900000000000003
2016-09-06,0.00341
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2017-06-22,0.0211
2017-06-23,0.015870000000000002
2017-06-24,0.0
2017-06-25,0.00904
2017-06-26,0.00896
2017-06-27,0.00901
2017-06-28,0.0087
2017-06-29,0.00491
2017-06-30,0.00356
2017-07-01,0.00634
2017-07-02,0.00965
2017-07-03,0.0
2017-07-04,0.00126
2017-07-05,0.00449
2017-07-06,0.00138
2017-07-07,0.00625
2017-07-08,0.0
2017-07-09,0.01586
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.00608
2017-07-14,0.00789
2017-12-19,0.0026
2018-01-06,0.00482
2018-01-26,0.00666
2018-03-04,0.0
2018-03-07,0.0
2018-03-25,0.0
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-11,0.0
2018-07-15,0.0
2018-08-10,0.0
2018-08-17,0.0
2018-08-24,0.0
2021-01-28,0.0
2021-02-05,0.0
2021-02-11,0.0
2021-02-17,0.0
2021-02-25,0.0
2021-03-03,0.0
2021-03-10,0.0
2021-03-19,0.0
2021-03-25,0.0
2021-03-30,0.0
2021-04-07,0.0
2021-04-14,0.0
2021-05-17,0.0
2021-05-28,0.0
2021-06-04,0.0
2021-06-11,0.0
2021-06-18,0.0
2021-06-24,0.0
2021-07-02,0.0
2021-07-09,0.0
2021-07-15,0.0
2021-07-23,0.0
2021-07-30,0.0
2021-07-31,0.0
2021-08-06,0.0
