date,cesium
YYYY-MM-DD,ppb
2020-06-02,0.12819
2020-06-16,0.08864999999999999
2020-06-30,0.11431
2020-07-14,0.11978000000000001
2020-07-21,0.09648999999999999
2020-07-29,0.10234
2020-08-04,0.10139000000000001
2020-08-12,0.10737999999999999
2020-08-19,0.11627
2020-08-24,0.10702
2020-09-01,0.11727
2020-09-10,0.09629
2020-09-14,0.08989
2020-09-23,0.11006
2020-09-29,0.09937
2020-10-05,0.10684
2020-10-13,0.10836
2020-10-20,0.10514000000000001
2020-10-28,0.15352
2020-11-03,0.11220000000000001
2020-11-10,0.07521
2020-11-19,0.09959000000000001
2020-12-03,0.11352
2021-01-06,0.06512000000000001
2021-02-19,0.1182
2021-03-09,0.11635
2021-04-05,0.11247
2021-04-28,0.11074
2021-05-04,0.15625
2021-05-13,0.11534000000000001
2021-05-18,0.08335000000000001
2021-05-27,0.11915999999999999
2021-06-02,0.15899
2021-06-08,0.12542
2021-06-10,0.14167000000000002
2021-06-16,0.10638999999999998
2021-06-22,0.12262
2021-07-01,0.10347
2021-07-07,0.08779
2021-07-16,0.1127777
2021-07-20,0.1142735
2021-07-27,0.1177434
2021-08-04,0.1011456
2021-08-10,0.1187087
2021-08-17,0.2114272
2021-08-24,0.1072814
2021-08-31,0.1236483
2021-09-08,0.1078502
2021-09-27,0.1308841
2021-10-04,0.1191159
2021-10-15,0.1191883
2021-10-20,0.1079998
2021-10-28,0.1166541
2021-11-04,0.1158053
2021-11-08,0.1085431
2021-12-01,0.12470300000000001
