date,potassium
YYYY-MM-DD,ppb
2014-12-12,404.30135
2015-04-19,277.31822
2015-05-11,308.07204
2015-05-24,307.86403
2015-06-02,430.16159000000005
2015-06-18,344.52977
2015-07-02,342.82688
2015-07-15,365.17672
2015-08-02,358.94687
2015-08-09,377.49268
2015-10-04,481.55199000000005
2015-10-13,510.27544
2015-10-26,528.9917
2015-11-09,443.1965
2015-11-23,418.30852999999996
2016-04-08,394.41104
2016-04-21,348.76604
2016-05-02,356.98508064720005
2016-05-20,303.5840104659
2016-05-27,295.1355755632
2016-06-04,327.476278626
2016-06-11,349.3358983245
2016-06-17,397.98267000000004
2016-06-27,443.14191999999997
2016-07-08,409.33512
2016-07-15,374.30222000000003
2016-07-22,406.15761
2016-07-29,432.4479
2016-08-05,476.11946
2016-08-12,479.1717
2016-08-19,528.04976
2016-08-26,520.68218
2016-09-02,557.42064
2016-09-09,422.85507
2016-09-16,451.35557
2016-09-23,385.71993
2016-09-30,483.72547
2016-10-12,497.51937
2016-10-19,424.51306
2016-10-27,454.70621
2016-11-03,411.46806
2016-11-12,411.4908
2016-11-23,398.27025
2016-12-04,451.88136999999995
2017-05-14,338.33685
2017-05-30,516.0791300000001
2017-06-15,340.93786
2017-06-30,369.70449
2017-07-13,375.19773
2017-07-30,338.27895
2017-08-25,421.88813000000005
2017-09-14,434.94023
2017-09-27,407.00684
2017-10-14,427.16906
2017-10-23,419.24717
2017-11-03,410.98738
2017-11-16,395.2859
2018-03-03,412.82624
2018-05-25,401.33809999999994
2018-06-08,446.98188000000005
2018-06-15,467.36893000000003
2018-06-25,477.58299999999997
2018-07-09,545.7025
2018-07-15,509.89642000000003
2018-08-10,594.7752899999999
2018-08-17,543.11841
2018-08-24,548.08217
2018-09-07,507.60292
2018-09-14,489.57916
2018-09-21,474.98831
2018-09-28,461.83574
