date,cadmium
YYYY-MM-DD,ppb
2016-02-23,0.028609999999999997
2016-02-29,0.02633
2016-06-29,0.0462
2016-08-03,0.02994
2016-08-10,0.02416
2016-08-17,0.04208
2016-08-23,0.017240000000000002
2016-08-23,0.014
2016-08-23,0.02411
2016-08-24,0.02454
2016-08-31,0.019020000000000002
2016-09-07,0.01152
2016-09-14,0.01019
2016-09-21,0.010430000000000002
2016-09-28,0.0153
2016-10-11,0.012589999999999999
2016-10-19,0.0398
2016-10-26,0.04625
2016-11-02,0.03295
2016-11-09,0.06494
2016-11-16,0.03093
2016-11-22,0.0
2016-11-29,0.0
2016-12-06,0.0
2016-12-13,0.0
2016-12-20,0.0
2016-12-27,0.0
2017-01-03,0.0
2017-01-10,0.0
2017-01-17,0.025370000000000004
2017-01-24,0.042640000000000004
2017-01-31,0.021949999999999997
2017-02-07,0.01798
2017-02-14,0.0179
2017-02-21,0.02257
2017-02-28,0.0294
2017-03-07,0.015009999999999999
2017-03-14,0.01571
2017-03-21,0.013829999999999999
2017-03-28,0.0211
2017-04-04,0.02003
2017-04-11,0.0161
2017-04-18,0.03564
2017-04-25,0.0588
2017-05-02,0.0234
2017-05-09,0.03179
2017-05-16,0.011000000000000001
2017-05-23,0.02128
2017-05-30,0.03372
2017-06-14,0.017589999999999998
2017-06-20,0.01165
2017-06-29,0.036809999999999996
2017-07-05,0.00605
2017-07-12,0.022439999999999998
2017-07-18,0.02375
2017-07-25,0.01688
2017-08-03,0.01836
2017-08-09,0.01019
2017-08-16,0.02956
2017-08-23,0.02711
2017-08-29,0.01705
2017-09-03,0.019610000000000002
2017-09-13,0.01472
2017-09-20,0.0217
2017-09-27,0.02134
2017-10-05,0.01836
2017-10-10,0.01813
2017-10-17,0.01574
2017-10-24,0.014499999999999999
2017-10-31,0.023809999999999998
2017-11-07,0.01362
2017-11-14,0.02356
2017-11-21,0.28913
2017-11-28,0.01517
2017-12-03,0.012119999999999999
2017-12-12,0.01722
2017-12-19,0.020890000000000002
2017-12-26,0.01899
2018-01-02,0.02642
2018-01-09,0.02276
2018-01-16,0.01594
2018-01-23,0.02255
2018-01-30,0.01131
2018-02-06,0.01858
2018-02-13,0.013699999999999999
2018-02-20,0.01106
2018-02-27,0.01032
2018-03-06,0.00759
2018-03-13,0.00899
2018-07-16,0.02583
2018-07-23,0.01701
2018-09-04,0.018619999999999998
2018-09-10,0.01753
2018-09-17,0.01065
2018-09-24,0.00803
2018-10-01,0.010620000000000001
2018-10-29,0.00801
2019-05-07,0.0
