date,barium
YYYY-MM-DD,ppb
2019-05-11,13.780650000000001
2019-05-19,18.00346
2019-05-24,17.487109999999998
2019-06-03,23.53221
2019-06-18,32.89991
2019-07-01,46.5119
2019-07-09,54.6901
2019-07-16,59.105869999999996
2019-08-13,62.11931
2019-09-05,121.75489999999999
2020-04-21,36.4905
2020-05-13,33.590689999999995
2020-05-28,38.858489999999996
2020-06-10,48.64583
2020-06-24,53.03977
2020-07-08,71.92947000000001
2020-08-03,66.92714
2020-08-26,71.39821
2020-09-29,70.48491
2020-11-03,60.108639999999994
2021-05-10,37.57326
2021-05-24,38.11389
2021-06-17,48.1736479
2021-06-30,53.1362166
2021-07-22,59.88682179999999
2021-08-20,67.31193110000001
2021-09-30,65.2214967
