date,strontium
YYYY-MM-DD,ppb
2019-05-10,319.45508
2019-05-19,347.2473
2019-05-24,339.64242
2019-06-03,332.66048
2019-06-18,334.7
2019-07-01,337.2972
2019-07-09,343.04686
2019-07-16,338.05491000000006
2019-08-15,344.56552
2019-09-05,340.53754
2019-10-02,352.05366
2020-05-13,222.55473999999998
2020-05-28,249.79363
2020-06-10,270.32148
2020-06-24,279.26256
2020-07-08,269.11486
2020-08-04,257.05604
2020-08-26,260.73626
2020-09-29,268.49438
2021-05-10,216.10755999999998
2021-05-24,192.33575
2021-06-17,222.86790069999998
2021-06-30,226.8655202
2021-07-22,231.6670356
2021-08-20,239.95022
