date,cobalt
YYYY-MM-DD,ppb
2015-06-02,0.09757
2015-06-12,0.012749886802304
2015-06-13,0.029485465016847
2015-06-18,0.01091
2015-07-06,0.0060695366450850005
2015-07-10,0.00154598031984
2015-07-15,0.0067
2015-08-02,0.02064
2015-11-04,0.0
2015-11-23,0.00945
2015-11-28,0.014790000000000001
2016-05-27,0.0
2016-06-04,0.006764053799999999
2016-06-08,0.0
2016-06-11,0.0191988274
2016-06-17,0.0
2016-07-08,0.0
2016-07-14,0.0
2016-07-16,0.00494
2016-07-22,0.0041199999999999995
2016-07-29,0.02327
2016-08-11,0.0
2016-08-19,0.00843
2016-08-26,0.02121
2016-09-02,0.0
2016-09-16,0.00617
2016-10-12,0.00054
2016-10-19,0.01115
2016-10-27,0.01596
2016-11-03,0.01106
2016-11-12,0.012130000000000002
2016-12-04,0.00113
2017-03-27,0.02659
2017-06-23,0.0172
2017-06-30,0.009300000000000001
2017-07-13,0.02723
2017-07-14,0.012969999999999999
2017-07-17,0.00754
2017-07-30,0.00297
2017-08-11,0.00819
2017-08-25,0.00233
2017-08-31,0.00099
2017-09-18,0.00751
2017-09-27,0.01502
2017-10-14,0.00535
2017-10-19,0.03806
2017-10-23,0.00405
2017-10-24,0.0025599999999999998
2017-11-03,0.00284
2017-11-14,0.0038799999999999998
2017-11-16,0.006220000000000001
2017-12-19,0.03527
2018-01-06,0.0165
2018-01-25,0.01826
2018-01-29,0.0
2018-03-03,0.00677
2018-03-04,0.0
2018-03-13,0.11481999999999999
2018-03-17,0.00204
2018-05-07,0.00058
2018-05-25,6e-05
2018-06-03,0.02418
2018-06-08,0.002
2018-06-15,0.00335
2018-06-25,0.00665
2018-07-09,0.01531
2018-08-10,0.0059299999999999995
2018-08-17,0.00393
2018-08-24,0.02911
2018-08-25,0.14332
2018-08-31,0.02101
2018-09-07,0.02604
2018-09-14,0.016399999999999998
2018-09-21,0.02028
2018-10-11,0.0034000000000000002
2018-10-12,0.10811
2018-10-18,0.023479999999999997
2018-10-25,0.01834
2018-11-02,0.01927
2018-11-10,0.02228
2018-11-16,0.00604
2018-11-17,0.01769
2019-07-27,0.0
2019-08-13,0.01188
