date,uranium
YYYY-MM-DD,ppb
2014-12-12,0.17156000000000002
2015-04-19,0.09556999999999999
2015-05-11,0.09556999999999999
2015-05-24,0.1006
2015-06-02,0.0562
2015-06-18,0.06896000000000001
2015-07-02,0.08062
2015-07-15,0.08482
2015-08-02,0.12362
2015-08-09,0.13271
2015-10-04,0.13622
2015-10-13,0.17096
2015-10-26,0.14678
2015-11-09,0.14075000000000001
2015-11-23,0.15724
2016-04-08,0.15814999999999999
2016-04-21,0.12517
2016-05-02,0.12905669250000001
2016-05-20,0.0770466595
2016-05-27,0.0705955328
2016-06-04,0.0523052985
2016-06-11,0.06605348250000001
2016-06-17,0.06293
2016-06-27,0.09993
2016-07-08,0.07823
2016-07-15,0.10044
2016-07-22,0.11451
2016-07-29,0.1226
2016-08-05,0.11673
2016-08-12,0.13386
2016-08-19,0.13326
2016-08-26,0.15106
2016-09-02,0.11137
2016-09-09,0.12413
2016-09-16,0.13672
2016-09-23,0.052199999999999996
2016-09-30,0.11852
2016-10-12,0.15754
2016-10-19,0.1556
2016-10-27,0.15824000000000002
2016-11-03,0.16327999999999998
2016-11-12,0.17606
2016-11-23,0.1626
2016-12-04,0.17678
2017-05-14,0.052750000000000005
2017-05-30,0.04551
2017-06-15,0.06080000000000001
2017-06-30,0.06884
2017-07-13,0.07197
2017-07-30,0.06562
2017-08-25,0.10427
2017-09-14,0.11195999999999999
2017-09-27,0.13698
2017-10-14,0.14005
2017-10-23,0.13666
2017-11-03,0.16121
2017-11-16,0.16497
2018-03-03,0.18642999999999998
2018-05-25,0.05929
2018-06-08,0.08917
2018-06-15,0.07905000000000001
2018-06-25,0.10311000000000001
2018-07-09,0.07339
2018-07-15,0.10904
2018-08-10,0.13876
2018-08-17,0.13895
2018-08-24,0.13993
2018-09-07,0.14592
2018-09-14,0.14984
2018-09-21,0.1503
2018-09-28,0.15305
