date,sodium
YYYY-MM-DD,ppb
2014-12-12,1489.5663
2015-01-24,1487.5804500000002
2015-02-07,1849.6194
2015-03-16,1380.52169
2015-04-19,1125.96307
2015-05-11,2313.88252
2015-05-24,2313.08711
2015-06-02,2121.36146
2015-06-18,1528.12134
2015-07-02,2111.25345
2015-07-15,1225.5040800000002
2015-08-02,1030.67851
2015-08-09,964.58457
2015-10-04,2124.38666
2015-10-13,1766.29094
2015-10-26,2107.82442
2015-11-09,2246.79598
2015-11-23,1701.6064700000002
2015-12-09,1929.69675
2016-01-28,2205.8460800000003
2016-02-12,2125.3569899999998
2016-02-21,2620.78456
2016-03-09,2329.24372
2016-03-24,2203.04147
2016-03-31,2119.3249499999997
2016-04-08,1632.9513499999998
2016-04-21,1380.68435
2016-05-02,1202.5845982709998
2016-05-27,850.0770324144
2016-06-04,13197.96750483
2016-06-17,834.19359
2016-06-27,856.46159
2016-07-08,937.57994
2016-07-15,955.3443500000001
2016-07-22,1028.58739
2016-07-29,1135.97278
2016-08-05,1126.3999
2016-08-12,1168.13092
2016-08-19,1384.4135600000002
2016-08-26,1381.9490300000002
2016-09-02,1276.76378
2016-09-09,1046.5465100000001
2016-09-16,1125.95957
2016-09-23,933.5947299999999
2016-09-30,1315.84663
2016-10-12,1191.84502
2016-10-19,1158.15436
2016-10-27,1141.31898
2016-11-03,1184.89161
2016-11-12,1414.59672
2016-11-23,1562.46937
2017-03-19,1642.57751
2017-04-12,1746.5946299999998
2017-04-30,1292.7055599999999
2017-06-30,2307.1708200000003
2017-07-30,720.7727
2017-08-25,1017.92376
2017-09-14,1033.59791
2017-09-27,1347.5089
2017-10-14,1333.25287
2017-10-23,1392.01736
2017-11-03,1421.5589499999999
2017-11-16,1479.66813
2018-03-03,1536.25677
2018-05-25,851.1461099999999
2018-06-08,786.3257
2018-06-15,878.56469
2018-06-25,942.23957
2018-07-09,1109.12876
2018-07-15,1187.66353
2018-08-10,1796.39385
2018-08-17,1506.4507800000001
2018-08-24,1499.7069
2018-09-07,1307.91611
2018-09-14,1384.6115800000002
2018-09-28,1485.4626099999998
2018-10-05,1315.6098900000002
2018-10-12,1467.45814
2018-10-18,1448.94048
2018-10-25,1536.36026
2018-11-02,1509.3644900000002
2018-11-10,1672.9898600000001
2018-11-17,1545.22669
2019-02-27,1756.31801
2019-03-30,1826.09968
2019-04-18,1743.8086999999998
2019-05-08,1410.6499099999999
2019-06-05,936.2532799999999
2019-06-11,815.09975
2019-06-21,798.08483
2019-06-27,647.0773199999999
2019-07-05,721.0833
2019-07-14,702.6290899999999
2019-07-19,732.37702
2019-07-26,800.37255
2019-08-02,772.9907300000001
2019-08-09,783.57385
2019-08-16,912.97882
2019-08-23,1054.94006
2019-08-30,1162.01798
2019-09-06,1088.86779
2019-09-13,1170.54652
2019-09-20,1174.31063
2019-09-27,1284.8970199999999
2019-10-04,1355.7779500000001
2019-10-11,1383.7072699999999
2019-10-19,1453.23948
2019-10-25,1525.6424100000002
2019-11-03,1475.25014
2019-11-08,1507.49729
2019-11-15,1557.6695599999998
2019-11-22,1578.35527
2019-12-04,1874.4570999999999
2019-12-12,1623.25977
2019-12-20,1668.97435
2020-01-08,1716.9602800000002
2020-01-21,3084.26038
2020-01-28,1857.7790200000002
2020-02-11,1430.89654
2020-02-20,1488.5593600000002
2020-03-11,1444.60276
2020-03-17,1490.79182
2020-04-03,1505.0488100000002
2020-04-09,1737.46695
2020-04-14,1496.3632000000002
2020-04-24,1527.4384
2020-05-22,1468.04794
2020-05-29,1264.8917000000001
2020-06-05,1029.72883
2020-06-12,910.55025
2020-06-19,792.7233699999999
2020-06-26,766.17617
2020-07-02,910.54504
2020-07-10,869.3289900000001
2020-07-17,923.2154800000001
2020-07-23,944.08131
2020-07-30,947.1029199999999
2020-08-07,1028.01906
2020-08-14,1126.82177
2020-08-20,1072.84323
2020-08-27,1134.2389699999999
2020-09-03,1161.83255
2020-09-11,1195.55241
2020-09-18,1265.01557
2020-09-24,1208.98624
2020-10-01,1243.27918
2020-10-08,1254.56539
2020-10-16,1789.9284499999999
2020-10-23,1319.38343
2020-10-27,1356.09085
2020-11-06,1367.36636
2020-11-13,1583.17877
2020-12-04,1407.0806300000002
2021-01-08,1412.8513799999998
2021-01-15,1427.60575
2021-01-28,1734.36317
2021-02-11,1979.0106700000001
2021-03-03,1940.7835499999999
2021-03-19,1866.0578899999998
2021-03-25,1863.26481
2021-04-07,1626.06495
2021-05-17,1111.87048
2021-05-28,863.76956
2021-06-04,807.13883
2021-06-11,755.35869
2021-06-18,905.80224
2021-06-24,819.15139
2021-07-02,937.8923399999999
2021-07-09,919.91787
2021-07-15,1204.95868
2021-07-23,1176.94991
2021-07-30,1071.26705
2021-07-31,1117.80703
2021-08-06,1064.90725
2021-08-13,1138.7502039
2021-08-19,1168.1692658
2021-08-27,1225.210803
2021-09-03,1169.6720469
2021-10-01,1291.1241175999999
2021-10-07,2929.7895912000004
2021-10-22,1339.7357346000001
2021-10-27,1415.7928168
2021-11-03,1467.3285346
2021-11-11,1424.9540275999998
2022-10-15,1495.4249455
