date,germanium
YYYY-MM-DD,ppb
2020-05-21,0.0
2020-05-27,0.0
2020-06-03,0.00812
2020-06-09,0.0
2020-06-17,0.03429
2020-06-25,0.010920000000000001
2020-06-30,0.0
2020-07-07,0.0
2020-07-14,0.0
2020-07-22,0.0
2020-07-27,0.0010299999999999999
2020-08-02,0.00243
2020-08-10,0.0
2020-08-18,0.0
2020-08-24,0.02716
2020-08-31,0.0
2020-09-15,0.0
2020-09-22,0.01787
2020-09-28,0.00522
2020-10-08,0.01547
2020-10-14,0.0
2020-10-22,0.0
2020-11-11,0.0
2020-12-08,0.01718
2020-12-29,0.011470000000000001
2021-01-29,0.02118
2021-02-09,0.01725
2021-03-10,0.05998
2021-04-16,0.02225
2021-04-29,0.01175
2021-05-12,0.026480000000000004
2021-05-20,0.0
2021-05-26,0.0
2021-06-01,0.01008
2021-06-08,0.03707
2021-06-14,0.03907
2021-06-21,0.027209999999999998
2021-06-29,0.02406
2021-07-08,0.005019999999999999
2021-07-21,0.0232
2021-08-05,0.0
2021-08-11,0.0
2021-08-18,0.0
2021-08-26,0.0
2021-08-30,0.0
2021-09-12,0.0
2021-10-06,0.0
2021-10-13,0.0044901
2021-11-05,0.0
2021-11-12,0.0
2021-12-16,0.0164966
