date,chromium
YYYY-MM-DD,ppb
2014-12-12,0.2888
2015-01-24,0.10246999999999999
2015-02-07,0.1031
2015-02-19,0.15968
2015-03-16,0.05334
2015-04-19,0.14471
2015-05-11,0.28398
2015-05-24,0.30769
2015-06-02,0.38553
2015-06-18,0.18170999999999998
2015-07-02,0.2712
2015-07-15,0.27845000000000003
2015-08-02,0.42749000000000004
2015-08-09,0.6965100000000001
2015-10-04,0.23879
2015-10-13,0.2359
2015-10-26,0.34958999999999996
2015-11-09,0.15615
2015-12-09,0.31223999999999996
2016-01-08,0.38684999999999997
2016-01-28,0.46716
2016-02-12,0.28544
2016-02-21,0.17248
2016-03-09,0.26326
2016-03-24,0.12699
2016-03-31,0.22959000000000002
2016-04-08,0.4108
2016-04-21,0.59689
2016-05-02,0.49318024619999995
2016-05-20,0.44143946
2016-05-27,0.3353679335
2016-06-04,0.43361331
2016-06-11,0.5263851066
2016-06-17,0.44113
2016-06-27,0.56802
2016-07-08,0.42207
2016-07-15,0.4097
2016-07-22,0.29623
2016-07-29,0.38481
2016-08-05,0.62005
2016-08-12,0.67435
2016-08-19,0.7647700000000001
2016-08-26,0.27497
2016-09-02,0.6103299999999999
2016-09-09,0.31773999999999997
2016-09-16,0.42095
2016-09-23,0.40182
2016-09-30,0.54453
2016-10-12,0.3394
2016-10-19,0.74088
2016-10-27,0.55186
2016-11-03,1.11091
2016-11-12,0.44662
2016-11-23,0.45225000000000004
2016-12-04,0.47125
2017-03-19,1.00163
2017-04-12,0.56104
2017-04-30,1.5429399999999998
2017-05-14,1.03594
2017-05-30,0.37669
2017-06-15,0.34947
2017-06-30,0.9181
2017-07-13,0.16893999999999998
2017-07-30,0.7919900000000001
2017-08-25,0.55238
2017-09-14,0.4498
2017-09-27,20.614469999999997
2017-10-14,0.7277899999999999
2017-10-23,0.25044
2017-11-03,0.50164
2017-11-16,0.64884
2017-12-19,0.38043
2018-01-05,0.5562
2018-01-25,0.66915
2018-03-03,0.59826
2018-03-25,0.9973500000000001
2018-06-08,1.41753
2018-06-15,0.67602
2018-06-25,0.55187
2018-07-09,0.26385
2018-07-15,0.13499
2018-08-10,0.42945999999999995
2018-08-17,0.15641
2018-08-24,0.59232
2019-02-27,0.13339
2019-03-30,0.15697
2019-04-18,0.18491000000000002
2019-05-08,0.12517999999999999
2019-06-05,0.13038
2019-06-11,0.07837
2019-06-21,1.21003
2019-06-27,1.13764
2019-07-05,1.44667
2019-07-14,2.25591
2019-07-19,0.52146
2019-07-26,1.20932
2019-08-02,1.04395
2019-08-09,1.5380099999999999
2019-08-16,1.4532500000000002
2019-08-23,396.57349000000005
2019-08-30,134.49593
2019-09-06,70.45623
2019-09-13,0.52347
2019-09-20,0.7914
2019-09-27,0.8352999999999999
2019-10-04,1.41914
2019-10-11,0.2703
2019-10-19,0.33980999999999995
2020-02-11,0.17420000000000002
2020-02-20,0.36704000000000003
2020-03-11,0.39364000000000005
2020-04-03,0.68457
2020-04-09,0.15921000000000002
2020-04-14,0.36389
2020-04-24,0.40187
2020-05-22,0.15952999999999998
2020-05-29,0.15954
2020-06-05,0.19883
2020-06-12,0.08997
2020-06-19,0.10298
2020-06-26,0.5293599999999999
2020-07-02,2.11475
2020-07-10,0.26066
2020-07-17,0.1991
2020-07-23,0.15467
2020-07-30,0.32578
2020-08-07,0.21405000000000002
2020-08-14,0.28078
2020-08-20,4.5183800000000005
2020-08-27,0.25129999999999997
2020-09-03,0.34519
2020-09-11,0.37359000000000003
2020-09-18,0.45972
2020-09-24,0.57942
2020-10-01,0.26919
2020-10-08,0.23611
2020-10-16,0.15442
2020-10-23,0.32535000000000003
2020-10-27,0.26387
2020-11-06,0.35846
2020-11-13,1.16178
2020-12-04,0.13535999999999998
2021-01-08,0.13363
2021-01-15,0.24819999999999998
2021-01-28,0.2466
2021-02-11,0.13158
2021-03-03,0.39882
2021-03-19,0.2205
2021-03-25,0.71421
2021-04-07,0.14415
2021-05-17,0.01408
2021-05-28,0.11238
2021-06-04,0.07833
2021-06-11,1.31825
2021-06-18,0.38011999999999996
2021-06-24,0.3897
2021-07-02,0.29534
2021-07-09,0.11568999999999999
2021-07-15,0.13823
2021-07-23,0.29986
2021-07-30,0.17205
2021-07-31,0.7384599999999999
2021-08-06,0.053860000000000005
2021-08-13,0.2471292
2021-08-19,0.1455276
2021-08-27,0.23045659999999998
2021-09-03,0.38575020000000004
2021-10-01,0.45993720000000005
2021-10-07,0.9245854
2021-10-15,0.1647785
2021-10-22,0.4945727
2021-10-27,0.3474996
2021-11-03,0.2386738
2021-11-11,0.233129
