date,barium
YYYY-MM-DD,ppb
2015-06-02,0.17968
2015-06-12,0.916934114591592
2015-06-13,0.618351246539775
2015-06-18,37.38025
2015-07-06,0.14553624546559
2015-07-10,0.23165009930444797
2015-07-15,16.45114
2015-08-02,6.053920000000001
2015-11-04,8.85533
2015-11-23,14.59281
2015-11-28,4.40765
2016-05-27,9.996752844
2016-06-04,19.3419475242
2016-06-08,15.97066
2016-06-11,13.172186419800001
2016-06-17,10.26849
2016-07-08,6.24829
2016-07-14,2.38563
2016-07-16,4.53606
2016-07-22,10.173000000000002
2016-07-29,4.95292
2016-08-11,4.33624
2016-08-19,11.20166
2016-08-26,2.7302500000000003
2016-09-02,4.56444
2016-09-16,4.24851
2016-10-12,3.70343
2016-10-19,4.87337
2016-10-27,0.44982
2016-11-03,1.7778
2016-11-12,0.39115999999999995
2016-12-04,1.00027
2017-03-27,0.73307
2017-06-23,6.34009
2017-06-30,0.26186
2017-07-13,0.42986
2017-07-14,3.14065
2017-07-17,19.52983
2017-07-30,13.033539999999999
2017-08-11,10.73782
2017-08-25,7.26556
2017-08-31,0.40159
2017-09-18,30.79879
2017-09-27,16.123170000000002
2017-10-14,36.44149
2017-10-19,0.38666
2017-10-23,0.48852
2017-10-24,0.49574
2017-11-03,0.84644
2017-11-14,1.17435
2017-11-16,0.56624
2017-12-19,0.51637
2018-01-06,0.6137
2018-01-25,0.48385
2018-01-29,0.59927
2018-03-03,0.50012
2018-03-04,1.1280999999999999
2018-03-13,0.60707
2018-03-17,0.42066
2018-05-07,0.45391000000000004
2018-05-25,0.53834
2018-06-03,0.46008
2018-06-08,0.48355000000000004
2018-06-15,0.33877999999999997
2018-06-25,0.46425
2018-07-09,0.18898
2018-08-10,0.73417
2018-08-17,0.53749
2018-08-24,0.79949
2018-08-25,0.59761
2018-08-31,0.38157
2018-09-07,1.09818
2018-09-14,1.1435199999999999
2018-09-21,0.6966300000000001
2018-10-11,0.9846199999999999
2018-10-12,2.7478999999999996
2018-10-18,2.27956
2018-10-25,0.06644
2018-11-02,1.95295
2018-11-10,2.00697
2018-11-16,0.11188000000000001
2018-11-17,2.52017
2019-07-27,5.22383
2019-08-13,57.00768
