date,silicon
YYYY-MM-DD,ppb
2020-06-03,3422.25817
2020-06-16,3468.0359700000004
2020-06-30,3438.0481400000003
2020-07-14,3588.93483
2020-07-21,4942.78216
2020-07-29,3580.3471200000004
2020-08-04,4090.41302
2020-08-12,4405.480820000001
2020-08-19,4045.25166
2020-08-24,3772.8206899999996
2020-09-01,3658.63612
2020-09-10,3611.4989400000004
2020-09-14,3725.60844
2020-09-23,3766.2622599999995
2020-09-29,3598.43455
2020-10-05,3717.17314
2020-10-13,3666.95464
2020-10-20,3649.11632
2020-10-28,3648.39102
2020-11-03,4030.0512500000004
2020-11-19,3561.3837000000003
2020-12-03,3631.8291799999997
2021-01-20,3643.23131
2021-02-19,3275.06337
2021-03-09,3384.7432
2021-04-28,3313.3547700000004
2021-05-04,3467.0238
2021-05-13,3519.34044
2021-05-18,3546.0758600000004
2021-06-02,3387.7400399999997
2021-06-08,3463.04232
2021-06-15,3437.21632
2021-06-22,3462.0006000000003
2021-07-01,3422.71121
2021-07-07,3318.65843
2021-07-20,3584.7424038000004
2021-07-27,3815.6990242
2021-08-04,3827.7509899
2021-08-10,3976.2815499999997
2021-08-17,3861.3751389
2021-08-24,4150.2089965
2021-08-31,3003.6536682
2021-09-08,3037.1121135
2021-09-27,3259.4633228
2021-10-04,3608.9381780000003
2021-10-15,2767.294943
2021-10-20,3625.690605
2021-10-28,3704.981656
2021-11-04,3722.327196
2021-11-08,3689.787337
2021-12-01,3714.1339820000003
