date,titanium
YYYY-MM-DD,ppb
2019-10-07,1.77732
2020-05-26,2.09164
2020-10-09,0.91237
2021-05-25,2.6799
2021-07-28,1.32142
2021-07-29,1.48027
2021-10-05,1.9275700000000002
