date,strontium
YYYY-MM-DD,ppb
2015-04-28,205.702909572371
2015-04-29,205.328988831668
2015-04-30,205.101456131026
2015-05-01,195.611049692368
2015-05-02,182.761597636196
2015-05-03,173.843658326592
2015-05-04,166.407979288634
2015-05-05,162.76889679656
2015-05-06,159.13331178291
2015-05-07,161.333028632083
2015-05-08,162.192959896916
2015-05-09,164.000157003235
2015-05-10,160.606045521748
2015-05-11,165.131802531297
2015-05-12,168.50449097643
2015-05-13,169.725075272915
2015-05-14,168.999678099661
2015-05-15,165.202928834367
2015-05-16,162.327718435875
2015-05-17,158.962662223851
2015-05-18,163.728587842905
2015-05-19,164.087079569625
2015-05-20,168.147022163574
2015-05-20,194.446285739872
2015-05-21,175.694795922296
2015-05-21,191.985754211065
2015-05-22,184.12422529746
2015-05-23,183.805471340212
2015-05-24,185.883292967568
2015-05-25,185.729017395505
2015-05-26,185.728978932149
2015-05-27,186.171579559209
2015-05-28,177.997362965515
2015-05-29,172.673000184706
2015-05-30,174.959404214231
2015-05-31,164.850260985293
2015-06-01,151.643433166109
2015-06-02,142.35409599274
2015-06-03,133.957034525493
2015-06-04,132.764872577209
2015-06-05,131.527696731797
2015-06-06,134.925762445628
2015-06-07,136.721250126215
2015-06-08,132.206333957894
2015-06-09,126.536055794981
2015-06-10,121.993013950509
2015-06-11,116.587678433091
2015-06-12,118.820492020398
2015-06-13,120.17461852980001
2015-06-14,121.4986483494
2015-06-15,121.7657752805
2015-06-16,121.074718193
2015-06-17,104.9891794676
2015-06-18,106.415889319
2015-06-19,106.6403419518
2015-06-20,106.981757135
2015-06-21,106.9884906093
2015-06-22,106.7530386048
2015-06-23,108.18523431581846
2015-06-24,108.39541224182992
2015-06-25,110.86112549300343
2015-06-26,111.44989608061243
2015-06-27,109.41708923724414
2015-06-28,110.99390511845874
2015-06-29,108.6782514408273
2015-06-30,110.67390872182784
2015-07-01,110.4555119542658
2015-07-02,113.97119760474988
2015-07-03,113.65751068395774
2015-07-04,114.65839215224847
2015-07-05,113.33488008329712
2015-07-06,116.44361249059884
