date,manganese
YYYY-MM-DD,ppb
2017-03-17,2.4948300000000003
2017-03-23,6.57984
2017-05-03,2.50961
2017-05-06,334.34616
2017-05-11,2.93844
2017-05-15,296.27917
2017-06-22,242.71902999999998
2017-10-29,268.63458
2019-04-06,1.2606000000000002
2019-04-06,15.939110000000001
2020-07-14,50.62058999999999
2020-07-21,122.82235
2020-07-29,119.80574000000001
2020-08-04,94.99631000000001
2020-08-12,92.71568
2020-08-19,94.52127000000002
2020-08-24,105.62894
2020-09-01,107.3414
2020-09-14,107.50771999999999
2020-09-23,131.14378
2020-09-29,125.52064
2020-10-05,196.65836
2020-10-13,105.8864
2020-10-22,89.34817000000001
2020-10-28,91.64163
2020-11-03,86.84235
2020-11-19,71.28256
2021-04-28,40.25105
2021-05-04,92.24011000000002
2021-05-13,65.43475
2021-05-18,68.32516
2021-05-27,71.27376
2021-06-02,67.98219
2021-06-08,67.39092000000001
2021-06-15,65.79244
2021-06-22,66.2496
2021-07-01,66.58852999999999
2021-07-07,66.21232
2021-07-16,61.501024400000006
2021-07-20,62.9926767
2021-07-27,64.2192728
2021-08-04,59.334386099999996
2021-08-10,61.3791631
2021-08-17,58.0420598
2021-08-24,60.7117446
2021-08-31,62.87624819999999
2021-09-08,69.87840059999999
2021-09-27,77.2176492
2021-10-04,70.3565152
2021-10-15,64.6034978
