date,uranium
YYYY-MM-DD,ppb
2014-12-12,0.40811
2015-02-07,0.45818
2015-03-16,0.39148000000000005
2015-04-19,0.38056
2015-05-11,0.36545
2015-05-24,0.39798
2015-06-02,0.30593
2015-06-18,0.2417
2015-07-02,0.28767
2015-07-15,0.25212
2015-08-02,0.29671
2015-08-09,0.29469
2015-10-04,0.2816
2015-10-13,0.27001000000000003
2015-10-26,0.34497
2015-11-09,0.35908
2015-11-23,0.3528
2016-01-28,0.33971
2016-02-12,0.34657
2016-02-21,0.36865000000000003
2016-03-09,0.38144999999999996
2016-03-24,0.37832
2016-03-31,0.38922
2016-04-08,0.41868000000000005
2016-04-21,0.36571
2016-05-02,0.39999156459999996
2016-05-12,0.39018097230000004
2016-05-27,0.35309110600000004
2016-06-04,0.301895136
2016-06-11,0.24120090139999997
2016-06-17,0.24833999999999998
2016-06-27,0.2473
2016-07-08,0.26538
2016-07-15,0.32
2016-07-22,0.27103
2016-07-29,0.28035
2016-08-05,0.25929
2016-08-12,0.27841
2016-08-19,0.2888
2016-08-26,0.28755
2016-09-02,0.27898
2016-09-09,0.28673
2016-09-16,0.30349000000000004
2016-09-23,1.67992
2016-09-30,0.29089
2016-10-12,0.34071999999999997
2016-10-19,0.32858
2016-10-27,0.32864
2016-11-03,0.33617
2016-11-12,0.33414
2016-11-23,0.33609
2016-12-04,0.34879
2017-03-19,0.37808
2017-04-12,0.3869
2017-04-30,0.35276
2017-06-30,0.26887
2017-07-30,0.21491
2017-08-25,0.27244999999999997
2017-09-14,0.30357
2017-09-27,0.31262
2017-10-14,0.3272
2017-10-23,0.31647000000000003
2017-11-03,0.33043
2017-11-16,0.33619999999999994
2018-03-03,0.38117999999999996
2018-05-25,0.29439
2018-06-08,0.26609
2018-06-15,0.26805
2018-06-25,0.282
2018-07-09,0.27993
2018-07-15,0.29591
2018-08-10,0.30703
2018-08-17,0.32315000000000005
2018-08-24,0.30132
2018-09-07,0.32145
2018-09-14,0.32065999999999995
2018-10-05,0.307
2018-10-12,0.30148
2018-10-18,0.32877999999999996
2018-10-25,0.33181000000000005
2018-11-02,0.33334
2018-11-10,0.36072
2018-11-17,0.37004000000000004
2019-02-27,0.43568999999999997
2019-03-30,0.50312
2019-04-18,0.49366
2019-05-08,0.43230999999999997
2019-06-05,0.31967
2019-06-11,0.30636
2019-06-21,0.26418
2019-06-27,0.0
2019-07-05,0.0
2019-07-14,0.0
2019-07-19,0.0
2019-07-26,0.0
2019-08-02,0.0
2019-08-09,0.24143
2019-08-16,0.25943
2019-08-23,0.71405
2019-08-30,0.59124
2019-09-06,0.47869
2019-09-13,0.31055
2019-09-20,0.26577
2019-09-27,0.28082
2019-10-04,0.28742
2019-10-11,0.34582
2019-10-19,0.30273
2019-10-25,0.36841999999999997
2019-11-03,0.32632
2019-11-08,0.33625000000000005
2019-11-15,0.34626999999999997
2019-11-22,0.33826
2019-12-04,0.35337
2019-12-12,0.37729
2019-12-20,0.36347999999999997
2020-01-08,0.3694
2020-01-21,0.40452
2020-01-28,0.38724000000000003
2020-02-11,0.32926
2020-02-20,0.41415
2020-03-11,0.41169
2020-03-17,0.43462
2020-04-03,0.41632
2020-04-09,0.49652
2020-04-14,0.48852
2020-04-24,0.42038
2020-05-22,0.30463
2020-05-29,0.29274
2020-06-05,0.22485000000000002
2020-06-12,0.29196
2020-06-19,0.29194000000000003
2020-06-26,0.27405999999999997
2020-07-02,0.30904
2020-07-10,0.31166
2020-07-17,0.28528000000000003
2020-07-23,0.32998
2020-07-30,0.31264000000000003
2020-08-07,0.31171
2020-08-14,0.323
2020-08-20,0.31689
2020-08-27,0.30075
2020-09-03,0.30823
2020-09-11,0.30991
2020-09-18,0.36166
2020-09-24,0.36961
2020-10-01,0.32079
2020-10-08,0.32453000000000004
2020-10-16,0.35395999999999994
2020-10-23,0.35029
2020-10-27,0.37644
2020-11-06,0.32614
2020-11-13,0.38065000000000004
2020-12-04,0.32908
2021-01-15,0.39934
2021-01-28,0.35507999999999995
2021-02-11,0.3608
2021-03-03,0.37296
2021-03-19,0.39393999999999996
2021-03-25,0.45766
2021-04-07,0.42324
2021-05-17,0.33667
2021-05-28,0.24004
2021-06-04,0.31168
2021-06-11,0.29031
2021-06-18,0.25403
2021-06-24,0.31196
2021-07-02,0.3265
2021-07-09,0.31433999999999995
2021-07-15,0.33799999999999997
2021-07-30,0.30297
2021-08-06,0.32117
2021-08-13,0.2948128
2021-08-19,0.3055208
2021-08-27,0.2995479
2021-09-03,0.31771269999999996
2021-10-01,0.3314006
2021-10-07,0.34899939999999996
2021-10-15,0.3638105
2021-10-22,0.36020280000000005
2021-10-27,0.3549579
2021-11-03,0.3777758
2021-11-11,0.36949000000000004
