date,thorium
YYYY-MM-DD,ppb
2019-04-27,0.0
2019-05-11,0.01495
2019-05-19,0.015250000000000001
2019-05-24,0.0
2019-06-03,0.029589999999999998
2019-06-18,0.0
2019-07-01,0.0
2019-07-09,0.0
2019-07-16,0.0
2019-08-13,0.0
2019-09-05,0.0
2019-10-02,0.0
2020-05-13,0.00781
2020-05-28,0.01716
2020-06-10,0.02339
2020-06-24,0.04045
2020-07-08,0.0
2020-08-03,0.06193
2020-08-26,0.07602
2020-09-29,0.08163000000000001
2020-11-03,0.07546
2021-05-10,0.00798
2021-05-24,0.051390000000000005
2021-06-17,0.0
2021-06-30,0.0
2021-07-22,0.00018899999999999999
2021-08-20,0.00025100000000000003
2021-09-30,0.0024457999999999997
