date,barium
YYYY-MM-DD,ppb
2014-12-07,58.80043
2015-02-07,68.97716
2015-02-19,76.48232
2015-03-16,53.3005
2015-04-19,45.47213
2015-05-02,32.28645
2015-05-11,36.621340000000004
2015-05-24,37.088359999999994
2015-06-02,30.840010000000003
2015-06-18,103.13494
2015-07-02,35.33516
2015-07-15,91.18468999999999
2015-08-02,53.11397
2015-08-09,57.96209
2015-10-04,137.84691
2015-10-13,130.08529
2015-11-09,51.759479999999996
2015-11-23,100.17274
2015-12-09,103.70419
2015-12-30,102.41353000000001
2016-01-08,120.07919
2016-01-18,96.41543
2016-01-28,102.11686999999999
2016-02-12,107.03116
2016-02-21,107.40899
2016-03-09,114.98452999999999
2016-03-24,126.1157
2016-03-31,100.24663000000001
2016-04-08,47.54289
2016-04-21,68.07955
2016-05-02,126.59339939399997
2016-05-12,46.297711251500004
2016-05-20,49.8837985903
2016-05-27,49.8011406024
2016-06-04,40.3813271652
2016-06-11,45.5635224924
2016-06-17,40.88908
2016-06-27,39.218
2016-07-08,46.98642
2016-07-15,62.69362
2016-07-22,51.68011
2016-07-29,51.832029999999996
2016-08-05,45.696329999999996
2016-08-12,67.71157
2016-08-19,57.799699999999994
2016-08-26,57.34728
2016-09-02,52.36525
2016-09-09,51.77052
2016-09-16,56.35951
2016-09-23,20.17509
2016-09-30,54.02787
2016-10-12,49.12316
2016-10-19,49.27659
2016-10-27,52.49454
2016-11-03,53.34226
2016-11-12,51.61075
2016-11-23,55.6729
2016-12-04,53.28566000000001
2017-02-01,53.16951
2017-03-19,51.301610000000004
2017-04-12,44.79651
2017-04-30,43.343819999999994
2017-05-11,36.734300000000005
2017-05-14,40.9076
2017-05-30,40.75221
2017-06-15,65.47752
2017-06-30,34.874179999999996
2017-07-13,44.48984
2017-07-30,53.929869999999994
2017-08-25,61.822990000000004
2017-09-14,75.1356
2017-09-27,74.77382
2017-10-14,80.23617
2017-10-23,57.17996
2017-11-03,55.948719999999994
2017-11-16,51.59516
2018-03-04,43.833200000000005
2018-03-17,52.42429
2019-03-21,57.18289
2019-03-30,77.40362
2019-04-18,47.179950000000005
2019-05-02,44.37768
2019-05-08,42.517360000000004
2019-05-31,34.627340000000004
2019-06-05,31.640100000000004
2019-06-11,30.12508
2019-06-21,32.21714
2019-06-27,32.92749
2019-07-05,33.56265
2019-07-14,35.75565
2019-07-19,36.845620000000004
2019-07-26,37.16119
2019-08-02,41.269369999999995
2019-08-09,41.955999999999996
2019-08-16,45.34834
2019-08-23,48.91311
2019-08-30,679.8793999999999
2019-09-06,497.3428
2019-09-13,52.27522999999999
2019-09-20,52.342079999999996
2019-09-27,54.44208
2019-10-04,52.68249
2019-10-11,50.8427
2019-10-19,50.287620000000004
2020-02-11,52.87771
2020-02-20,58.30831
2020-03-01,54.04677
2020-03-11,54.80991
2020-03-17,55.031819999999996
2020-04-03,55.63166
2020-04-09,72.27312
2020-04-14,73.73282
2020-04-24,75.03575
2020-04-28,76.41074
2020-05-14,76.68827
2020-05-22,72.49717000000001
2020-05-29,76.45739
2020-06-05,75.12082000000001
2020-06-12,55.07291000000001
2020-06-19,51.98443
2020-06-26,52.14973
2020-07-02,56.100849999999994
2020-07-10,53.47651
2020-07-17,53.46040000000001
2020-07-23,53.68656
2020-07-30,55.37734999999999
2020-08-07,63.40121
2020-08-14,61.57812
2020-08-20,64.73566
2020-08-27,67.46953
2020-09-03,70.03612000000001
2020-09-11,79.0299
2020-09-18,75.28542
2020-09-24,74.05588
2020-10-01,73.46396999999999
2020-10-08,74.69317000000001
2020-10-16,77.18468
2020-10-23,76.30269
2020-10-27,74.79289
2020-11-06,76.03131
2020-11-13,75.26354
2020-11-20,81.05448000000001
2020-12-04,76.07074
2020-12-31,78.92716
2021-01-08,75.75431
2021-01-15,74.75088000000001
2021-01-21,74.51971999999999
2021-01-28,55.43778
2021-02-05,55.203059999999994
2021-02-11,55.618660000000006
2021-02-17,56.93935
2021-02-25,57.63308000000001
2021-03-03,59.26685
2021-03-10,56.126360000000005
2021-03-19,54.840790000000005
2021-08-13,51.670330699999994
2021-08-19,50.7654007
2021-08-27,51.472077799999994
2021-09-03,50.8389988
2021-10-01,54.0621126
2021-10-07,54.747050599999994
2021-10-22,53.1548911
2021-10-27,53.492647
2021-11-03,55.0274468
2021-11-11,49.6416493
2021-12-20,51.753406899999995
2022-10-15,50.9016793
