date,zirconium
YYYY-MM-DD,ppb
2014-12-07,0.02989
2015-02-07,0.01743
2015-02-19,0.028679999999999997
2015-03-16,0.02477
2015-04-19,0.02094
2015-05-02,1.00115
2015-05-11,0.92213
2015-05-24,0.8247599999999999
2015-06-02,1.22455
2015-06-18,1.00387
2015-07-02,0.54375
2015-07-15,0.32395
2015-08-02,0.07242
2015-08-09,0.050769999999999996
2015-10-04,0.27172
2015-10-13,0.26039
2015-11-09,0.31696
2015-11-23,0.24871000000000001
2015-12-09,0.2207
2015-12-30,0.29152
2016-01-08,0.24898
2016-01-18,0.16293
2016-01-28,0.10228
2016-02-12,0.14895
2016-02-21,0.18807999999999997
2016-03-09,0.23899
2016-03-24,0.23614
2016-03-31,0.21894
2016-04-08,0.18452
2016-04-21,0.0
2016-05-02,0.6662125259999999
2016-05-12,0.12248470139999999
2016-05-20,0.0825641067
2016-05-27,0.0478014372
2016-06-04,0.028953140399999997
2016-06-11,0.09428008639999999
2016-06-17,0.023370000000000002
2016-06-27,0.01877
2016-07-08,0.09996
2016-07-15,0.79185
2016-07-22,0.34378
2016-07-29,0.0479
2016-08-05,0.04116
2016-08-12,0.23176
2016-08-19,0.04132
2016-08-26,0.12458999999999999
2016-09-02,0.03034
2016-09-09,0.06117
2016-09-16,0.0067599999999999995
2016-09-23,0.01668
2016-09-30,0.0
2016-10-12,0.17568
2016-10-19,0.0877
2016-10-27,0.0732
2016-11-03,0.07097
2016-11-12,0.08374
2016-11-23,0.0
2016-12-04,0.0
2017-02-01,0.0
2017-03-19,0.17656000000000002
2017-04-12,0.16722
2017-04-30,0.20084000000000002
2017-05-11,0.19815
2017-05-14,0.18571000000000001
2017-05-30,0.18831
2017-06-15,0.28306000000000003
2017-06-30,0.15388000000000002
2017-07-13,0.14654
2017-07-30,0.14961
2017-08-25,0.19801
2017-09-14,0.04045
2017-09-27,0.05644
2017-10-14,0.19324000000000002
2017-10-23,0.09636
2017-11-03,0.16238
2017-11-16,0.11423000000000001
2018-03-04,0.18273
2018-03-17,0.16927
2019-03-21,0.18414
2019-03-30,0.18217
2019-04-18,0.18116
2019-05-02,0.18388000000000002
2019-05-08,0.18297000000000002
2019-05-31,0.2247
2019-06-05,0.25594
2019-06-11,0.23935
2019-06-21,0.24429
2019-06-27,0.11429999999999998
2019-07-05,0.11285
2019-07-14,0.09782
2019-07-19,0.10711
2019-07-26,0.10272999999999999
2019-08-02,0.12096000000000001
2019-08-09,0.18966
2019-08-16,0.28928
2019-08-23,0.19959000000000002
2019-08-30,0.48104
2019-09-06,2.13546
2019-09-13,0.2775
2019-09-20,0.21944999999999998
2019-09-27,0.20112999999999998
2019-10-04,0.20418999999999998
2019-10-11,0.19539
2019-10-19,0.19463999999999998
2020-02-11,0.09567
2020-02-20,0.10004
2020-03-01,0.08883
2020-03-11,0.09791
2020-03-17,0.09775
2020-04-03,0.09233999999999999
2020-04-09,0.10083
2020-04-14,0.10396000000000001
2020-04-24,0.08214
2020-04-28,0.08796
2020-05-14,0.09645000000000001
2020-05-22,0.06709
2020-05-29,0.09804
2020-06-05,0.09827000000000001
2020-06-12,0.10465
2020-06-19,0.08349999999999999
2020-06-26,0.12375
2020-07-02,0.08493
2020-07-10,0.07686
2020-07-17,0.12156
2020-07-23,0.09569
2020-07-30,0.08958
2020-08-07,0.07674
2020-08-14,0.07641
2020-08-20,0.07368999999999999
2020-08-27,0.07363
2020-09-03,0.10468999999999999
2020-09-11,0.09655999999999999
2020-09-18,0.08585999999999999
2020-09-24,0.14753
2020-10-01,0.08166
2020-10-08,0.07874
2020-10-16,0.08881
2020-10-23,0.09516
2020-10-27,0.08066000000000001
2020-11-06,0.09523999999999999
2020-11-13,0.09577000000000001
2020-11-20,0.09719
2020-12-04,0.09320999999999999
2020-12-31,0.08765
2021-01-08,0.0776
2021-01-15,0.10050999999999999
2021-01-21,0.078
2021-01-28,0.22507
2021-02-05,0.24355000000000002
2021-02-11,0.2404
2021-02-17,0.22998000000000002
2021-02-25,0.24289000000000002
2021-03-03,0.2959
2021-03-10,0.22721000000000002
2021-03-19,0.23368
2021-08-13,0.0181182
2021-08-19,0.0160842
2021-08-27,0.0142195
2021-09-03,0.0140282
2021-10-01,0.0188208
2021-10-07,0.014694599999999999
2021-10-22,0.0011044000000000002
2021-10-27,0.0227012
2021-11-03,0.0298997
2021-11-11,0.002852
2021-12-20,0.0048172
2022-10-15,0.0007601999999999999
