date,lead
YYYY-MM-DD,ppb
2014-12-12,0.03309
2015-02-07,0.036219999999999995
2015-03-16,0.03301
2015-04-19,0.025279999999999997
2015-05-11,0.00654
2015-05-24,0.00232
2015-06-02,0.0
2015-06-18,0.00646
2015-07-02,0.09436
2015-07-15,0.02014
2015-08-02,0.09376000000000001
2015-08-09,0.0388
2015-10-04,0.00227
2015-10-13,0.00664
2015-10-26,0.01052
2015-11-09,0.022850000000000002
2015-11-23,0.011460000000000001
2016-01-28,0.01277
2016-02-12,0.05224
2016-02-21,0.016730000000000002
2016-03-09,0.05166
2016-03-24,0.01369
2016-03-31,0.02749
2016-04-08,0.047540000000000006
2016-04-21,0.03368
2016-05-02,0.0971684478
2016-05-12,0.0235943476
2016-05-27,0.0274804846
2016-06-04,0.0072737424
2016-06-11,0.014316582599999999
2016-06-17,0.0
2016-06-27,0.0
2016-07-08,0.01314
2016-07-15,0.21482
2016-07-22,0.04184
2016-07-29,0.063
2016-08-05,0.06003
2016-08-12,0.04247
2016-08-19,0.06808
2016-08-26,0.025920000000000002
2016-09-02,0.03763
2016-09-09,0.03392
2016-09-16,0.02935
2016-09-23,0.04118
2016-09-30,0.06459999999999999
2016-10-12,0.00817
2016-10-19,0.0
2016-10-27,0.014859999999999998
2016-11-03,0.02723
2016-11-12,0.06394999999999999
2016-11-23,0.01932
2016-12-04,0.03721
2017-03-19,0.01181
2017-04-12,0.43555000000000005
2017-04-30,0.016399999999999998
2017-06-30,0.05432
2017-07-30,0.03573
2017-08-25,0.014530000000000001
2017-09-14,0.024849999999999997
2017-09-27,0.04731
2017-10-14,0.03687
2017-10-23,0.02
2017-11-03,0.01685
2017-11-16,0.02447
2018-03-03,0.019629999999999998
2018-05-25,0.02712
2018-06-08,0.04749
2018-06-15,0.03298
2018-06-25,0.043590000000000004
2018-07-09,0.01918
2018-07-15,0.01618
2018-08-10,0.047479999999999994
2018-08-17,0.0028699999999999997
2018-08-24,0.00785
2018-09-07,0.07948
2018-09-14,0.10713
2018-10-05,0.07844000000000001
2018-10-12,0.10638999999999998
2018-10-18,0.11138
2018-10-25,0.07679
2018-11-02,0.07003
2018-11-10,0.19824000000000003
2018-11-17,0.0719
2019-02-27,0.0
2019-03-30,0.0
2019-04-18,0.0
2019-05-08,0.0
2019-06-05,0.09906
2019-06-11,0.00634
2019-06-21,0.01607
2019-06-27,0.03405
2019-07-05,0.02949
2019-07-14,0.03486
2019-07-19,0.017910000000000002
2019-07-26,0.06867
2019-08-02,0.022560000000000004
2019-08-09,0.08609
2019-08-16,0.07872000000000001
2019-08-23,0.87971
2019-08-30,0.46179
2019-09-06,0.39005
2019-09-13,0.10095
2019-09-20,0.08189
2019-09-27,0.08854000000000001
2019-10-04,0.08127000000000001
2019-10-11,0.07398
2019-10-19,0.11922
2019-10-25,0.02579
2019-11-03,0.01366
2019-11-08,0.01585
2019-11-15,0.033549999999999996
2019-11-22,0.016
2019-12-04,0.0368
2019-12-12,0.06749
2019-12-20,0.06495
2020-01-08,0.01695
2020-01-21,0.02812
2020-01-28,0.02326
2020-02-11,0.0045
2020-02-20,0.01734
2020-03-11,0.00327
2020-03-17,0.00221
2020-04-03,0.02303
2020-04-09,0.0
2020-04-14,0.006489999999999999
2020-04-24,0.05567
2020-05-22,0.0
2020-05-29,4.3629299999999995
2020-06-05,0.0
2020-06-12,0.25295999999999996
2020-06-19,0.26216
2020-06-26,0.0
2020-07-02,0.0
2020-07-10,0.0
2020-07-17,0.028999999999999998
2020-07-23,0.0
2020-07-30,0.0
2020-08-07,0.0
2020-08-14,0.0
2020-08-20,0.00020999999999999998
2020-08-27,0.0
2020-09-03,0.04835
2020-09-11,0.0
2020-09-18,0.05057
2020-09-24,0.00933
2020-10-01,0.00735
2020-10-08,0.0
2020-10-16,0.00283
2020-10-23,0.014270000000000001
2020-10-27,1.2554599999999998
2020-11-06,0.0
2020-11-13,0.0
2020-12-04,0.00196
2021-01-15,0.0
2021-01-28,0.5953200000000001
2021-02-11,0.6734600000000001
2021-03-03,0.7044400000000001
2021-03-19,0.6911100000000001
2021-03-25,0.04914
2021-04-07,0.01797
2021-05-17,0.03
2021-05-28,0.00733
2021-06-04,0.02701
2021-06-11,0.08413000000000001
2021-06-18,0.016479999999999998
2021-06-24,0.11713
2021-07-02,0.03576
2021-07-09,0.0
2021-07-15,0.04176
2021-07-30,0.00156
2021-08-06,0.0
2021-08-13,0.0
2021-08-19,0.0
2021-08-27,0.0668497
2021-09-03,0.1089611
2021-10-01,0.1670811
2021-10-07,0.12161150000000001
2021-10-15,0.024952799999999997
2021-10-22,0.046993599999999996
2021-10-27,0.1360983
2021-11-03,0.18345219999999998
2021-11-11,0.054306299999999995
