date,lead
YYYY-MM-DD,ppb
2014-12-12,0.05555
2015-05-11,0.051390000000000005
2015-05-24,0.030850000000000002
2015-06-02,0.07045
2015-06-18,0.14541
2015-07-02,0.03075
2015-07-15,0.05204
2015-08-02,0.04951
2015-08-09,0.03308
2015-10-04,0.01726
2015-10-13,0.022560000000000004
2015-10-26,0.02189
2015-11-09,0.21638000000000002
2016-05-12,0.0
2016-05-20,0.2886853152
2016-05-27,0.0530862395
2016-06-04,0.0982944828
2016-06-11,0.0749722259
2016-06-17,0.0
2016-06-27,0.024780000000000003
2016-07-08,0.044590000000000005
2016-07-15,0.07873
2016-07-22,0.11355000000000001
2016-07-29,0.04852000000000001
2016-08-05,0.02561
2016-08-12,0.04704
2016-08-19,0.03176
2016-08-26,0.02331
2016-09-02,0.04136
2016-09-09,0.03351
2016-09-16,0.048240000000000005
2016-09-23,0.03895
2016-09-30,0.04327
2016-10-12,0.00536
2016-10-19,0.059239999999999994
2016-10-27,0.01967
2016-11-03,0.06005
2016-11-12,0.02108
2017-05-30,0.03481
2017-06-15,0.0863
2017-06-30,0.03817
2017-07-13,0.02843
2017-07-30,0.02345
2017-08-25,0.03257
2017-09-14,0.0256
2017-09-27,0.05054
2017-10-14,0.0283
2017-10-23,0.01923
2017-11-03,0.02206
2018-05-25,0.0711
2018-06-08,0.057429999999999995
2018-06-15,0.029750000000000002
2018-06-25,0.025079999999999998
2018-07-09,0.017830000000000002
2018-07-15,0.014450000000000001
