date,copper
YYYY-MM-DD,ppb
2016-10-14,8.45581
2017-07-13,3.80384
2017-07-19,0.9747
2017-07-27,1.16953
2017-08-03,2.75844
2017-08-04,1.00556
2017-09-18,9.9085
2017-10-15,63.23944
