date,calcium
YYYY-MM-DD,ppb
2015-06-02,61.76696
2015-06-12,143.312226579
2015-06-13,597.353360318
2015-06-18,105.73185000000001
2015-07-06,173.49333078
2015-07-10,207.97353357980003
2015-07-15,61.75443
2015-08-02,87.76329000000001
2015-11-04,71.94668
2015-11-23,136.65991
2015-11-28,76.42246
2016-05-27,68.530400328
2016-06-04,198.46821324119998
2016-06-08,64.22887
2016-06-11,368.08923319539997
2016-06-17,99.14572
2016-07-08,114.45619
2016-07-14,103.40393
2016-07-16,137.52339
2016-07-22,73.01045
2016-07-29,171.91358000000002
2016-08-11,103.44881000000001
2016-08-19,97.36433
2016-08-26,239.26369
2016-09-02,139.6229
2016-09-16,59.79894
2016-10-12,48.724610000000006
2016-10-19,90.02036000000001
2016-10-27,150.50072
2016-11-03,100.90490000000001
2016-11-12,114.55947
2016-12-04,209.187
2017-03-27,142.09593
2017-06-23,60.431650000000005
2017-06-30,48.768370000000004
2017-07-13,83.64245
2017-07-14,105.98340999999999
2017-07-17,117.20437000000001
2017-07-30,35.70051
2017-08-11,57.410379999999996
2017-08-25,45.82375
2017-08-31,69.77473
2017-09-18,64.33436
2017-09-27,77.68804
2017-10-14,58.97392
2017-10-19,80.12976
2017-10-23,43.17656
2017-10-24,48.6695
2017-11-03,37.66337
2017-11-14,74.05074
2017-11-16,46.72859
2017-12-19,61.523979999999995
2018-01-06,84.04707
2018-01-25,60.61065
2018-01-29,53.873369999999994
2018-03-03,61.20335
2018-03-04,128.60455
2018-03-13,52.49461
2018-03-17,49.77448
2018-05-07,54.626580000000004
2018-05-25,59.20577
2018-06-03,66.71718
2018-06-08,84.27944
2018-06-15,44.19823
2018-06-25,43.39443
2018-07-09,68.0402
2018-08-10,72.45383000000001
2018-08-17,45.71708
2018-08-24,49.358149999999995
2018-08-25,41.64932
2018-08-31,48.195550000000004
2018-09-07,153.98239
2018-09-14,177.17674
2018-09-21,79.588
2018-10-11,24.79986
2018-10-12,83.02928
2018-10-18,64.11269
2018-10-25,54.55932
2018-11-02,41.44993
2018-11-10,57.33345
2018-11-16,33.74543
2018-11-17,45.883700000000005
2019-07-27,393.0657
2019-08-13,290.15578
