date,iron
YYYY-MM-DD,ppb
2017-04-14,19.48705
2017-05-06,45.70473
2017-06-22,8.2556
2017-10-12,83.53839
2017-10-24,20.34852
2018-03-07,17.58472
2018-04-02,27.333530000000003
2019-04-06,6.9347
2019-04-06,7.02569
2020-07-14,43.78671
2020-07-21,51.66494
2020-07-29,37.30351
2020-08-04,65.11408999999999
2020-08-12,48.761799999999994
2020-08-19,98.26417
2020-08-24,28.13268
2020-09-01,51.90669
2020-09-10,25.19086
2020-09-14,44.83558000000001
2020-09-23,52.357209999999995
2020-09-29,2521.8508
2020-10-05,66.71987
2020-10-13,37.265
2020-10-20,71.93065
2020-10-28,40.652910000000006
2020-11-03,27.5595
2020-11-10,19.88516
2020-11-19,17.0579
2020-12-03,48.509
2021-01-20,20.95033
2021-02-19,41.68646000000001
2021-03-09,22.837019999999995
2021-04-05,57.73055
2021-04-28,22.63565
2021-05-04,33.9645
2021-05-13,21.07983
2021-05-18,25.995089999999998
2021-05-27,14.45953
2021-06-02,37.73089
2021-06-08,16.00557
2021-06-15,47.16441
2021-06-22,14.282950000000001
2021-07-01,173.6216
2021-07-07,20.23405
2021-07-16,84.1327228
2021-07-20,95.0182357
2021-07-27,65.0199341
2021-08-04,23.051420500000003
2021-08-10,16.4360978
2021-08-17,15.8049485
2021-08-24,17.992061200000002
2021-08-31,19.0501778
2021-09-08,23.1694293
2021-09-27,21.3638643
2021-10-04,62.5804665
2021-10-15,52.196933
2021-10-20,51.373864600000005
2021-10-28,194.0904449
2021-11-04,458.6061667
2021-11-08,80.882374
2021-12-01,42.6911769
